"native","family","genus","familyId","genusId","physiognomy","synonymGC","commonName","nameDNR","speciesId"
"N","Asteraceae","Arnica",5,2008,"H","Arnica lonchophylla","long-leaved arnica","Arnica lonchophylla",1164
"N","Asteraceae","Arnoglossum",5,109,"H","Cacalia plantaginea","tuberous Indian plantain","Arnoglossum plantagineum",1165
"N","Asteraceae","Arnoglossum",5,109,"H","Cacalia muhlenbergii","great Indian plantain","Arnoglossum reniforme",1166
"N","Rosaceae","Aronia",13,242,"D","Aronia melanocarpa","black chokeberry","Aronia melanocarpa",1167
"I","Asteraceae","Artemisia",5,98,"H","Artemisia abrotanum","southernwood","Artemisia abrotanum",1168
"I","Asteraceae","Artemisia",5,98,"H","Artemisia absinthium","absinthe wormwood","Artemisia absinthium",1169
"I","Asteraceae","Artemisia",5,98,"H","Artemisia biennis","biennial wormwood","Artemisia biennis",1170
"N","Asteraceae","Artemisia",5,98,"H","Artemisia dracunculus","tarragon","Artemisia dracunculus",1171
"N","Asteraceae","Artemisia",5,98,"H","Artemisia frigida","sage wormwood","Artemisia frigida",1172
"N","Asteraceae","Artemisia",5,98,"H","Artemisia ludoviciana var. ludoviciana","white sage","Artemisia ludoviciana subsp. ludoviciana",1173
"N","Asteraceae","Artemisia",5,98,"H","Artemisia campestris subsp. caudata","field sagewort","Artemisia campestris subsp. caudata",1174
"I","Asteraceae","Artemisia",5,98,"H","Artemisia vulgaris","common wormwood","Artemisia vulgaris",1175
"N","Asteraceae","Artemisia",5,98,"H","Artemisia serrata","saw-tooth wormwood","Artemisia serrata",1176
"N","Aristolochiaceae","Asarum",28,189,"H","Asarum canadense","wild ginger","Asarum canadense",1177
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias amplexicaulis","clasping milkweed","Asclepias amplexicaulis",1178
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias hirtella","prairie milkweed","Asclepias hirtella",1179
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias incarnata var. incarnata","swamp milkweed","Asclepias incarnata subsp. incarnata",1180
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias lanuginosa","woolly milkweed","Asclepias lanuginosa",1181
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias ovalifolia","oval-leaved milkweed","Asclepias ovalifolia",1182
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias speciosa","showy milkweed","Asclepias speciosa",1183
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias stenophylla","narrow-leaved milkweed","Asclepias stenophylla",1184
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias sullivantii","Sullivant's milkweed","Asclepias sullivantii",1185
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias syriaca","common milkweed","Asclepias syriaca",1186
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias tuberosa var. interior","butterflyweed","Asclepias tuberosa subsp. interior",1187
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias verticillata","whorled milkweed","Asclepias verticillata",1188
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias viridiflora","green milkweed","Asclepias viridiflora",1189
"N","Apocynaceae","Asclepias",24,185,"H","Asclepias exaltata","poke milkweed","Asclepias exaltata",1190
"I","Liliaceae","Asparagus",16,488,"H","Asparagus officinalis","asparagus","Asparagus officinalis",1191
"N","Aspleniaceae","Asplenium",31,299,"H","Asplenium platyneuron","ebony spleenwort","Asplenium platyneuron",1192
"N","Aspleniaceae","Asplenium",31,299,"H","Asplenium rhizophyllum","walking fern","Asplenium rhizophyllum",1193
"N","Aspleniaceae","Asplenium",31,299,"H","","maidenhair spleenwort","Asplenium trichomanes subsp. trichomanes",1194
"N","Fabaceae","Astragalus",21,472,"H","Astragalus alpinus var. alpinus","alpine milk-vetch","Astragalus alpinus var. alpinus",1195
"N","Fabaceae","Astragalus",21,472,"H","Astragalus canadensis","Canada milk-vetch","Astragalus canadensis var. canadensis",1196
"I","Fabaceae","Astragalus",21,472,"H","Astragalus cicer","","Astragalus cicer",1197
"N","Fabaceae","Astragalus",21,472,"H","Astragalus crassicarpus var. crassicarpus","ground plum","Astragalus crassicarpus var. crassicarpus",1198
"N","Fabaceae","Astragalus",21,472,"H","Astragalus flexuosus var. flexuosus","slender milk-vetch","Astragalus flexuosus var. flexuosus",1199
"N","Fabaceae","Astragalus",21,472,"H","Astragalus adsurgens var. robustior","prairie milk-vetch","Astragalus laxmannii var. robustior",1200
"N","Fabaceae","Astragalus",21,472,"H","Astragalus lotiflorus","lotus milk-vetch","Astragalus lotiflorus",1201
"N","Fabaceae","Astragalus",21,472,"H","Astragalus missouriensis var. missouriensis","Missouri milk-vetch","Astragalus missouriensis var. missouriensis",1202
"N","Fabaceae","Astragalus",21,472,"H","Astragalus tenellus","loose-flowered milk-vetch","Astragalus multiflorus",1203
"N","Fabaceae","Astragalus",21,472,"H","Astragalus neglectus","Cooper's milk-vetch","Astragalus neglectus",1204
"N","Fabaceae","Astragalus",21,472,"H","Astragalus racemosus var. racemosus","racemose milk-vetch","Astragalus racemosus var. racemosus",1205
"N","Fabaceae","Astragalus",21,472,"H","Astragalus agrestis","fieldmilk-vetch","Astragalus agrestis",1206
"N","Dryopteridaceae","Athyrium",32,190,"H","Athyrium filix-femina var. michauxii","northern lady fern","Athyrium filix-femina var. angustum",1207
"N","Chenopodiaceae","Atriplex",49,706,"H","Atriplex hastata","thinleaf orach","Atriplex prostrata",1208
"I","Chenopodiaceae","Atriplex",49,706,"H","Atriplex patula","spearscale","Atriplex patula",1209
"N","Scrophulariaceae","Aureolaria",11,473,"H","Aureolaria grandiflora, Aureolaria grandiflora var. pulchra","large-flowered false foxglove","Aureolaria grandiflora",1210
"N","Scrophulariaceae","Aureolaria",11,473,"H","Aureolaria pedicularia, Aureolaria pedicularia var. ambigens, Aureolaria pedicularia var. pedicularia","fernleaf false foxglove","Aureolaria pedicularia",1211
"I","Poaceae","Avena",14,707,"G","Avena fatua","wild oats","Avena fatua",1212
"I","Poaceae","Avena",14,707,"G","Avena sativa","cultivated oats","Avena sativa",1213
"N","Poaceae","Avenula",14,2009,"G","Helictotrichon hookeri","spike oat","Avenula hookeri",1214
"I","Amaranthaceae","Axyris",20,2010,"H","Axyris amaranthoides","Russian pigweed","Axyris amaranthoides",1215
"N","Azollaceae","Azolla",144,708,"H","Azolla mexicana","Mexican mosquito fern","Azolla microphylla",1216
"N","Scrophulariaceae","Bacopa",11,709,"H","Bacopa rotundifolia","waterhyssop","Bacopa rotundifolia",1217
"N","Fabaceae","Baptisia",21,84,"H","Baptisia lactea var. lactea","white wild indigo","Baptisia lactea var. lactea",1218
"N","Fabaceae","Baptisia",21,84,"H","Baptisia bracteata, Baptisia bracteata var. glabrescens","plains wild indigo","Baptisia leucophaea",1219
"N","Brassicaceae","Barbarea",18,514,"H","Barbarea orthoceras","winter-cress","Barbarea orthoceras",1220
"I","Brassicaceae","Barbarea",18,514,"H","Barbarea vulgaris","yellow rocket","Barbarea vulgaris",1221
"N","Gentianaceae","Bartonia",33,500,"H","Bartonia virginica","yellow screwstem","Bartonia virginica",1222
"N","Poaceae","Beckmannia",14,602,"G","Beckmannia syzigachne","American slough grass","Beckmannia syzigachne",1223
"I","Berberidaceae","Berberis",34,165,"D","Berberis thunbergii","Japanese barberry","Berberis thunbergii",1224
"I","Berberidaceae","Berberis",34,165,"D","Berberis vulgaris","common barberry","Berberis vulgaris",1225
"I","Brassicaceae","Berteroa",18,715,"H","Berteroa incana","hoary alyssum","Berteroa incana",1226
"N","Apiaceae","Berula",9,716,"H","Berula erecta","stream parsnip","Berula incisa",1227
"N","Betulaceae","Betula",19,47,"D","Betula alleghaniensis","yellow birch","Betula alleghaniensis",1228
"N","Betulaceae","Betula",19,47,"D","Betula papyrifera var. cordifolia","heart-leaved birch","Betula cordifolia",1229
"N","Betulaceae","Betula",19,47,"D","Betula nigra","river birch","Betula nigra",1230
"N","Betulaceae","Betula",19,47,"D","Betula pumila","bog birch","Betula pumila",1231
"N","Betulaceae","Betula",19,47,"D","Betula xpurpusii","Purpus' birch","Betula xpurpusii",1232
"N","Betulaceae","Betula",19,47,"D","","Rosendahl's birch","Betula xrosendahlii",1233
"N","Betulaceae","Betula",19,47,"D","Betula papyrifera s.l., Betula papyrifera var. papyrifera","paper birch","Betula papyrifera",1234
"N","Betulaceae","Betula",19,47,"D","Betula xsandbergii","Sandberg's birch","Betula xsandbergii",1235
"N","Asteraceae","Bidens",5,85,"H","Bidens cernua","nodding bur marigold","Bidens cernua",1236
"N","Asteraceae","Bidens",5,85,"H","Bidens connata","swamp beggarticks","Bidens connata",1237
"N","Asteraceae","Bidens",5,85,"H","Bidens discoidea","discoid beggarticks","Bidens discoidea",1238
"N","Asteraceae","Bidens",5,85,"F,H,S","Bidens beckii","water marigold","Bidens beckii",1239
"N","Asteraceae","Bidens",5,85,"H","Bidens coronata","showy beggarticks","Bidens trichosperma",1240
"N","Asteraceae","Bidens",5,85,"H","Bidens comosa","tufted beggarticks","Bidens tripartita",1241
