"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Cistaceae","H","Lechea intermedia","intermediate pinweed","Lechea intermedia var. intermedia"
"N","Cistaceae","H","Lechea stricta","prairie pinweed","Lechea stricta"
"N","Cistaceae","H","Lechea tenuifolia var. tenuifolia","narrow-leaved pinweed","Lechea tenuifolia"
"N","Poaceae","G","Leersia lenticularis","catchfly grass","Leersia lenticularis"
"N","Poaceae","G","Leersia oryzoides","rice cut grass","Leersia oryzoides"
"N","Poaceae","G","Leersia virginica","white cutgrass","Leersia virginica"
"N","Lemnaceae","F,H","Lemna minor s.l.","lesser duckweed","Lemna minor"
"N","Lemnaceae","F,H","Lemna minor s.l.","little duckweed","Lemna obscura"
"N","Lemnaceae","F,H","Lemna perpusilla","minute duckweed","Lemna perpusilla"
"N","Lemnaceae","F,H","Lemna trisulca","star duckweed","Lemna trisulca"
"N","Lemnaceae","F,H","Lemna minor s.l.","turion duckweed","Lemna turionifera"
"I","Asteraceae","H","Leontodon autumnalis var. autumnalis","fall dandelion","Leontodon autumnalis"
"I","Lamiaceae","H","Leonurus cardiaca","common motherwort","Leonurus cardiaca"
"I","Lamiaceae","H","Leonurus marrubiastrum","","Leonurus marrubiastrum"
"I","Lamiaceae","H","Leonurus sibiricus","motherwort","Leonurus sibiricus"
"I","Brassicaceae","H","Lepidium campestre","field peppergrass","Lepidium campestre"
"N","Brassicaceae","H","Lepidium densiflorum","green-flowered peppergrass","Lepidium densiflorum"
"I","Brassicaceae","H","Cardaria draba","hoary cress","Lepidium draba"
"N","Brassicaceae","H","Lepidium virginicum var. virginicum","Virginia peppergrass","Lepidium virginicum subsp. virginicum"
"N","Poaceae","G","Leptochloa fascicularis var. acuminata","bearded sprangletop","Leptochloa fusca subsp. fascicularis"
"N","Fabaceae","H","Lespedeza capitata","round-headed bush clover","Lespedeza capitata"
"I","Fabaceae","H","Lespedeza cuneata","sericea lespedeza","Lespedeza cuneata"
"N","Fabaceae","H","Lespedeza leptostachya","prairie bush clover","Lespedeza leptostachya"
"I","unknown","H","","giant daisy","Leucanthemella serotina"
"I","Asteraceae","H","Chrysanthemum leucanthemum","ox-eye daisy","Leucanthemum vulgare"
"N","unknown","H","Leucophysalis grandiflora","dwarf ground cherry","Leucophysalis grandiflora"
"N","Scrophulariaceae","H","Leucospora multifida","narrowleaf paleseed","Leucospora multifida"
"I","unknown","H","","lovage","Levisticum officinale"
"N","Asteraceae","H","Liatris aspera","rough blazing star","Liatris aspera"
"N","Asteraceae","H","Liatris cylindracea","cylindric blazing star","Liatris cylindracea"
"N","Asteraceae","H","Liatris ligulistylis","northern plains blazing star","Liatris ligulistylis"
"N","Asteraceae","H","Liatris punctata","dotted blazing star","Liatris punctata var. punctata"
"N","Asteraceae","H","Liatris pycnostachya","great blazing star","Liatris pycnostachya var. pycnostachya"
"I","Liliaceae","H","Lilium lancifolium","tiger lily","Lilium lancifolium"
"N","Liliaceae","H","Lilium michiganense","Michigan lily","Lilium michiganense"
"N","Liliaceae","H","Lilium philadelphicum var. andinum","wood lily","Lilium philadelphicum"
"N","unknown","H","Limosella aquatica","mudwort","Limosella aquatica"
"I","Scrophulariaceae","H","","dalmatian toadflax","Linaria dalmatica subsp. dalmatica	"
"I","Scrophulariaceae","H","Linaria vulgaris","butter-and-eggs","Linaria vulgaris"
"N","Scrophulariaceae","H","Lindernia dubia, Lindernia dubia var. anagallidea, Lindernia dubia var. dubia","yellow-seeded false pimpernel","Lindernia dubia"
"N","Caprifoliaceae","H","Linnaea borealis var. longiflora","twinflower","Linnaea borealis var. longiflora"
"N","Linaceae","H","","blue flax","Linum lewisii var. lewisii"
"I","Linaceae","H","","blue flax","Linum perenne"
"N","Linaceae","H","Linum rigidum","stiffstem flax","Linum rigidum"
"N","Linaceae","H","Linum rigidum var. rigidum","stiff-stem yellow flax","Linum rigidum var. rigidum"
"N","Linaceae","H","","stiffstem flax","Linum rigidum var. simulans"
"N","Linaceae","H","Linum sulcatum","grooved yellow flax","Linum sulcatum"
"I","Linaceae","H","Linum usitatissimum","common flax","Linum usitatissimum"
"N","Orchidaceae","H","Liparis liliifolia","lily-leaved twayblade","Liparis liliifolia"
"N","Orchidaceae","H","Liparis loeselii","Loesel's twayblade","Liparis loeselii"
"N","unknown","H","Listera auriculata","auricled twayblade","Listera auriculata"
"N","unknown","H","Listera convallarioides","broad-leaved twayblade","Listera convallarioides"
"N","unknown","H","Listera cordata","heart-leaved twayblade","Listera cordata var. cordata"
"N","Boraginaceae","H","Lithospermum canescens","hoary puccoon","Lithospermum canescens"
"N","Boraginaceae","H","Lithospermum caroliniense var. croceum","hairy puccoon","Lithospermum caroliniense var. croceum"
"N","Boraginaceae","H","Lithospermum incisum","narrow-leaved puccoon","Lithospermum incisum"
"N","Boraginaceae","H","Lithospermum latifolium","American gromwell","Lithospermum latifolium"
"N","unknown","H,S","Littorella uniflora var. americana","American shore plantain","Littorella americana"
"N","Campanulaceae","H","Lobelia cardinalis var. cardinalis","cardinal flower","Lobelia cardinalis var. cardinalis"
"N","Campanulaceae","H,S","Lobelia dortmanna","water lobelia","Lobelia dortmanna"
"N","Campanulaceae","H","Lobelia inflata","Indian tobacco","Lobelia inflata"
"N","Campanulaceae","H","Lobelia kalmii","Kalm's lobelia","Lobelia kalmii"
"N","Campanulaceae","H","Lobelia siphilitica","great lobelia","Lobelia siphilitica"
"N","Campanulaceae","H","Lobelia siphilitica var. ludoviciana","great lobelia","Lobelia siphilitica var. ludoviciana"
"N","Campanulaceae","H","Lobelia siphilitica var. siphilitica","great lobelia","Lobelia siphilitica var. siphilitica"
"N","Campanulaceae","H","Lobelia spicata","pale-spiked lobelia","Lobelia spicata"
"N","Campanulaceae","H","Lobelia spicata var. hirtella","rough-spiked lobelia","Lobelia spicata var. hirtella"
"N","Campanulaceae","H","Lobelia spicata var. spicata","rough-spiked lobelia","Lobelia spicata var. spicata"
"I","Brassicaceae","H","Lobularia maritima","sweet alyssum","Lobularia maritima"
"I","unknown","H","Filago arvensis","field cotton rose","Logfia arvensis"
"I","Poaceae","G","","Italian ryegrass","Lolium multiflorum"
"I","Poaceae","G","Lolium perenne, Lolium perenne var. aristatum, Lolium perenne var. perenne","English rye grass","Lolium perenne"
"N","unknown","H","Lomatium orientale","desert parsley","Lomatium orientale"
"N","Caprifoliaceae","D","Lonicera caerulea var. villosa","mountain fly honeysuckle","Lonicera caerulea var. villosa"
"N","Caprifoliaceae","D","Lonicera canadensis","fly honeysuckle","Lonicera canadensis"
"N","Caprifoliaceae","C","Lonicera dioica","wild honeysuckle","Lonicera dioica"
"N","Caprifoliaceae","C","Lonicera dioica var. dioica","wild honeysuckle","Lonicera dioica var. dioica"
"N","Caprifoliaceae","C","Lonicera dioica var. glaucescens","wild honeysuckle","Lonicera dioica var. glaucescens"
"N","Caprifoliaceae","D","Lonicera hirsuta","hairy honeysuckle","Lonicera hirsuta"
"I","Caprifoliaceae","D","Lonicera morrowii","Morrow's honeysuckle","Lonicera morrowii"
"N","Caprifoliaceae","D","Lonicera oblongifolia","swamp fly honeysuckle","Lonicera oblongifolia"
"N","Caprifoliaceae","C","Lonicera prolifera, Lonicera reticulata s.s.","grape honeysuckle","Lonicera reticulata"
"I","Caprifoliaceae","D","Lonicera tatarica","tartarian honeysuckle","Lonicera tatarica"
"I","Caprifoliaceae","D","Lonicera xbella","pretty honeysuckle","Lonicera xbella"
"I","Fabaceae","H","Lotus corniculatus","bird's-foot trefoil","Lotus corniculatus"
"N","Onagraceae","H","Ludwigia palustris","common water primrose","Ludwigia palustris"
"N","Onagraceae","H","Ludwigia polycarpa","false loosestrife","Ludwigia polycarpa"
"N","Fabaceae","H","Lupinus perennis","wild lupine","Lupinus perennis"
"I","Fabaceae","H","Lupinus polyphyllus","large-leaved lupine","Lupinus polyphyllus"
"N","Juncaceae","G","Luzula acuminata","pointed woodrush","Luzula acuminata var. acuminata"
"I","Juncaceae","G","Luzula luzuloides","Lamarck's woodrush","Luzula luzuloides subsp. luzuloides"
"N","Juncaceae","G","Luzula multiflora","many-flowered woodrush","Luzula multiflora subsp. multiflora"
"N","Juncaceae","G","","small-flowered woodrush","Luzula parviflora subsp. melanocarpa"
"I","Solanaceae","D","Lycium barbarum","matrimony vine","Lycium barbarum"
"N","Lycopodiaceae","H","Lycopodium inundatum","northern bog clubmoss","Lycopodiella inundata"
"N","Lycopodiaceae","H","Lycopodium clavatum s.l.","common clubmoss","Lycopodium clavatum"
"N","Lycopodiaceae","H","Lycopodium clavatum s.l.","one-cone clubmoss","Lycopodium lagopus"
"N","Lamiaceae","H","Lycopus americanus","cut-leaved bugleweed","Lycopus americanus"
"N","Lamiaceae","H","Lycopus asper","rough bugleweed","Lycopus asper"
"N","Lamiaceae","H","Lycopus uniflorus","northern bugleweed","Lycopus uniflorus"
"N","Lamiaceae","H","Lycopus virginicus","Virginia bugleweed","Lycopus virginicus"
"N","Lamiaceae","H","Lycopus xsherardii","Sherard's bugleweed","Lycopus xsherardii"
"N","unknown","H","Lygodesmia juncea","skeletonweed","Lygodesmia juncea"
"N","Primulaceae","H","Lysimachia ciliata","fringed loosestrife","Lysimachia ciliata"
"N","Primulaceae","H","Lysimachia hybrida","hybrid loosestrife","Lysimachia hybrida"
"N","Primulaceae","H","","lance-leaved loosestrife","Lysimachia lanceolata"
"N","Primulaceae","H","Glaux maritima","sea milkwort","Lysimachia maritima"
"I","Primulaceae","H","Lysimachia nummularia","moneywort","Lysimachia nummularia"
"N","Primulaceae","H","Lysimachia quadriflora","prairie loosestrife","Lysimachia quadriflora"
"N","Primulaceae","H","Lysimachia quadrifolia","whorled loosestrife","Lysimachia quadrifolia"
"N","Primulaceae","H","Lysimachia terrestris","swamp candles","Lysimachia terrestris"
"N","Primulaceae","H","Lysimachia thyrsiflora","tufted loosestrife","Lysimachia thyrsiflora"
"I","Primulaceae","H","Lysimachia vulgaris","garden yellow loosestrife","Lysimachia vulgaris"
"N","Primulaceae","H","Lysimachia xcommixta","mixed loosestrife","Lysimachia xcommixta"
"N","Lythraceae","H","Lythrum alatum var. alatum","winged loosesrtife","Lythrum alatum var. alatum"
"I","Lythraceae","H","Lythrum salicaria","purple loosestrife","Lythrum salicaria"
"I","unknown","H","Madia glomerata","tarweed","Madia glomerata"
"N","Liliaceae","H","Maianthemum canadense, Maianthemum canadense var. canadense, Maianthemum canadense var. interius","Canada mayflower","Maianthemum canadense"
"N","Liliaceae","H","Smilacina racemosa","common false Solomon's seal","Maianthemum racemosum subsp. racemosum"
"N","Liliaceae","H","Smilacina stellata","starry false Solomon's seal","Maianthemum stellatum"
"N","Liliaceae","H","Smilacina trifolia","three-leaved false Solomon's seal","Maianthemum trifolium"
"N","Orchidaceae","H","Malaxis monophyllos var. brachypoda","white adder's mouth","Malaxis monophyllos var. brachypoda"
"N","Orchidaceae","H","Malaxis paludosa","bog adder's mouth","Malaxis paludosa"
"N","Orchidaceae","H","Malaxis unifolia","green adder's mouth","Malaxis unifolia"
"N","Rosaceae","D","Pyrus ioensis","prairie crabapple","Malus ioensis"
"I","Malvaceae","H","Malva neglecta","common mallow","Malva neglecta"
"I","Malvaceae","H","Malva rotundifolia","dwarf mallow","Malva pusilla"
"I","Marsileaceae","","","European water clover","Marsilea quadrifolia"
"N","Marsileaceae","H","Marsilea vestita","hairy water-clover","Marsilea vestita"
"I","Asteraceae","H","Matricaria recutita","wild chamomile","Matricaria chamomilla"
"I","Asteraceae","H","Matricaria matricarioides","pineapple weed","Matricaria discoidea"
"N","Dryopteridaceae","H","Matteuccia struthiopteris","ostrich fern","Matteuccia struthiopteris var. pensylvanica"
"I","Fabaceae","H","Medicago lupulina","black medick","Medicago lupulina"
"I","Fabaceae","H","Medicago sativa","alfalfa","Medicago sativa"
"I","Fabaceae","H","Medicago sativa subsp. falcata","yellow flowered alfalfa","Medicago sativa subsp. falcata"
"I","Fabaceae","H","Medicago sativa subsp. sativa","purple alfalfa","Medicago sativa subsp. sativa"
"N","Scrophulariaceae","H","Melampyrum lineare","cow wheat","Melampyrum lineare"
"N","Scrophulariaceae","H","Melampyrum lineare var. americanum","cow wheat","Melampyrum lineare var. americanum"
"N","Scrophulariaceae","H","Melampyrum lineare var. lineare","cow wheat","Melampyrum lineare var. lineare"
"N","Poaceae","G","Melica nitens","three-flowered melic","Melica nitens"
"I","Fabaceae","H","Melilotus albus","white sweet clover","Melilotus albus"
"I","Fabaceae","H","Melilotus officinalis","yellow sweet clover","Melilotus officinalis"
"N","Menispermaceae","C","Menispermum canadense","Canada moonseed","Menispermum canadense"
"N","Lamiaceae","H","Mentha arvensis var. canadensis","common mint","Mentha arvensis var. canadensis"
"I","Lamiaceae","H","Mentha spicata s.s.","spearmint","Mentha spicata"
"I","Lamiaceae","H","Mentha xgentilis","heartmint","Mentha xgentilis"
"N","Menyanthaceae","H","Menyanthes trifoliata","buckbean","Menyanthes trifoliata"
"N","Boraginaceae","H","Mertensia paniculata","panicled bluebells","Mertensia paniculata"
"N","Boraginaceae","H","Mertensia virginica","Virginia bluebells","Mertensia virginica"
"N","Saxifragaceae","H","Saxifraga pensylvanica","swamp saxifrage","Micranthes pensylvanica"
"N","Saxifragaceae","H","Saxifraga virginiensis","Virginia saxifrage","Micranthes virginiensis"
"N","Poaceae","G","Milium effusum","woodland millet grass","Milium effusum var. cisatlanticum"
"N","Scrophulariaceae","H","Mimulus ringens var. ringens","blue monkey flower","Mimulus ringens var. ringens"
"N","Caryophyllaceae","H","Arenaria stricta var. litorea","rock sandwort","Minuartia dawsonensis"
"N","Nyctaginaceae","H","Mirabilis hirsuta","hairy four o'clock","Mirabilis albida"
"N","Nyctaginaceae","H","Mirabilis linearis","narrow-leaved four o'clock","Mirabilis linearis var. linearis"
"N","Nyctaginaceae","H","Mirabilis nyctaginea","heart-leaved four o'clock","Mirabilis nyctaginea"
"I","Poaceae","G","Miscanthus sacchariflorus","amur silver grass","Miscanthus sacchariflorus"
"N","Rubiaceae","H","Mitchella repens","partridgeberry","Mitchella repens"
"N","Saxifragaceae","H","Mitella diphylla","two-leaved miterwort","Mitella diphylla"
"N","Saxifragaceae","H","Mitella nuda","naked miterwort","Mitella nuda"
"N","Caryophyllaceae","H","Arenaria lateriflora","side-flowering sandwort","Moehringia lateriflora"
"N","Caryophyllaceae","H","Arenaria macrophylla","large-leaved sandwort","Moehringia macrophylla"
"N","Molluginaceae","H","Mollugo verticillata","carpetweed","Mollugo verticillata"
"N","Lamiaceae","H","Monarda fistulosa","wild bergamot","Monarda fistulosa"
"N","Lamiaceae","H","Monarda fistulosa var. fistulosa","wild bergamot","Monarda fistulosa var. fistulosa"
"N","Lamiaceae","H","Monarda fistulosa var. menthaefolia","wild bergamot","Monarda fistulosa var. menthaefolia"
"N","Lamiaceae","H","Monarda punctata var. villicaulis","spotted horsemint","Monarda punctata var. villicaulis"
"N","unknown","H","Moneses uniflora","one-flowered pyrola","Moneses uniflora"
"N","Chenopodiaceae","H","Monolepis nuttalliana","povertyweed","Monolepis nuttalliana"
"N","Monotropaceae","H","Monotropa hypopithys","pinesap","Monotropa hypopitys"
"N","Monotropaceae","H","Monotropa uniflora","Indian pipe","Monotropa uniflora"
"N","unknown","H","Montia chamissoi","montia","Montia chamissoi"
"I","Moraceae","D","Morus alba","white mulberry","Morus alba"
"N","Moraceae","D","Morus rubra","red mulberry","Morus rubra"
"N","Poaceae","G","Muhlenbergia asperifolia","scratchgrass","Muhlenbergia asperifolia"
"N","Poaceae","G","Muhlenbergia cuspidata","Plains muhly","Muhlenbergia cuspidata"
"N","Poaceae","G","Muhlenbergia frondosa","swamp muhly grass","Muhlenbergia frondosa"
"N","Poaceae","G","Muhlenbergia glomerata","clustered muhly grass","Muhlenbergia glomerata"
"N","Poaceae","G","Muhlenbergia mexicana","Mexican muhly grass","Muhlenbergia mexicana"
"N","Poaceae","G","Muhlenbergia mexicana","Mexican muhly grass","Muhlenbergia mexicana var. filiformis"
"N","Poaceae","G","Muhlenbergia mexicana","Mexican muhly grass","Muhlenbergia mexicana var. mexicana"
"N","Poaceae","G","Muhlenbergia racemosa","marsh muhly grass","Muhlenbergia racemosa"
"N","Poaceae","G","Muhlenbergia richardsonis","mat muhly grass","Muhlenbergia richardsonis"
"N","Poaceae","G","Muhlenbergia schreberi","dropseed muhly grass","Muhlenbergia schreberi"
"N","Poaceae","G","Muhlenbergia sylvatica","woodland muhly grass","Muhlenbergia sylvatica"
"N","Poaceae","G","Muhlenbergia uniflora","one-flowered muhly","Muhlenbergia uniflora"
"N","unknown","H","Lactuca pulchella","beautiful blue lettuce","Mulgedium pulchellum"
"I","Boraginaceae","H","Myosotis arvensis","field forget-me-not","Myosotis arvensis"
"N","Boraginaceae","H","Myosotis laxa","smaller forget-me-not","Myosotis laxa"
"I","Boraginaceae","H","Myosotis scorpioides","true forget-me-not","Myosotis scorpioides"
"I","Boraginaceae","H","Myosotis sylvatica","woodland forget-me-not","Myosotis sylvatica"
"N","Boraginaceae","H","Myosotis verna","Virginia forget-me-not","Myosotis verna"
"I","Caryophyllaceae","H","Stellaria aquatica","giant chickweed","Myosoton aquaticum"
"N","Ranunculaceae","H","Myosurus minimus","mousetail","Myosurus minimus"
"N","unknown","D","Myrica gale","sweet gale","Myrica gale"
"N","Haloragaceae","H,S","Myriophyllum alterniflorum","alternate-flower water milfoil","Myriophyllum alterniflorum"
"N","Haloragaceae","H,S","Myriophyllum farwellii","Farwell's water milfoil","Myriophyllum farwellii"
"N","Haloragaceae","H,S","Myriophyllum heterophyllum","broadleaf water milfoil","Myriophyllum heterophyllum"
"U","Haloragaceae","H,S","","cutleaf watermilfoil","Myriophyllum pinnatum"
"N","Haloragaceae","H,S","Myriophyllum sibiricum","northern water milfoil","Myriophyllum sibiricum"
"I","Haloragaceae","H,S","Myriophyllum spicatum","Eurasian water milfoil","Myriophyllum spicatum"
"N","Haloragaceae","H,S","Myriophyllum tenellum","slender water milfoil","Myriophyllum tenellum"
"N","Haloragaceae","H,S","Myriophyllum verticillatum","whorled water milfoil","Myriophyllum verticillatum"
"N","Pteridaceae","H","Cheilanthes feei","slender lip fern","Myriopteris gracilis"
"N","Najadaceae","H,S","Najas flexilis","flexuous naiad","Najas flexilis"
"N","Najadaceae","H,S","Najas gracillima","slender naiad","Najas gracillima"
"N","Najadaceae","H,S","Najas guadalupensis s.l.","southern naiad","Najas guadalupensis"
"N","Najadaceae","H,S","Najas guadalupensis var. guadalupensis","guadalupian southern naid","Najas guadalupensis subsp. guadalupensis"
"N","Najadaceae","H,S","Najas guadalupensis var. olivacea","olive-colored southern naiad","Najas guadalupensis subsp. olivacea"
"N","Najadaceae","H,S","Najas marina","sea naiad","Najas marina"
"I","Najadaceae","H,S","Najas minor","brittle water-nymph","Najas minor"
"N","Malvaceae","H","Napaea dioica","glade mallow","Napaea dioica"
"N","Poaceae","G","Stipa viridula","green needle grass","Nassella viridula"
"I","Brassicaceae","H","Rorippa nasturtium-aquaticum","one-row yellowcress","Nasturtium microphyllum"
"I","Brassicaceae","H","Rorippa nasturtium-aquaticum","small-leaved water cress","Nasturtium officinale"
"N","Nelumbonaceae","H","Nelumbo lutea","American lotus","Nelumbo lutea"
"N","unknown","D","Nemopanthus mucronatus","swamp holly","Nemopanthus mucronatus"
"I","Lamiaceae","H","Nepeta cataria","catnip","Nepeta cataria"
"I","Brassicaceae","H","Neslia paniculata","ball mustard","Neslia paniculata"
"N","Asteraceae","H","Microseris cuspidata","prairie false dandelion","Nothocalais cuspidata"
"N","Nymphaeaceae","F,H","Nuphar microphylla","yellow pond-lily","Nuphar microphylla"
"N","Nymphaeaceae","H","Nuphar xrubrodisca","yellow pond-lily","Nuphar rubrodisca"
"N","Nymphaeaceae","F,H","Nuphar variegata","bullhead pond-lily","Nuphar variegata"
"N","Scrophulariaceae","H","Linaria canadensis var. canadensis","old field toadflax","Nuttallanthus canadensis"
"N","Nymphaeaceae","F,H","Nymphaea tetragona","small white waterlily","Nymphaea leibergii"
"N","Nymphaeaceae","F,H","Nymphaea odorata s.l.","American white waterlily","Nymphaea odorata"
"N","Nymphaeaceae","F,H","Nymphaea odorata var. odorata","American white waterlily","Nymphaea odorata subsp. odorata"
"N","Nymphaeaceae","F,H","","American white waterlily","Nymphaea odorata subsp. tuberosa"
"I","unknown","H","","red bartsia","Odontites vulgaris"
"N","Onagraceae","H","Oenothera biennis s.s., Oenothera biennis var. biennis","common evening primrose","Oenothera biennis"
"N","Onagraceae","H","Oenothera clelandii","Cleland's evening primrose","Oenothera clelandii"
"I","Onagraceae","H","","velvetweed","Oenothera curtiflora"
"N","Onagraceae","H","Gaura biennis, Gaura biennis var. biennis","biennial gaura","Oenothera gaura"
"N","Onagraceae","H","Oenothera laciniata, Oenothera laciniata var. laciniata","cut-leaved evening primrose","Oenothera laciniata"
"N","Onagraceae","H","Oenothera nuttallii","Nuttall's evening primrose","Oenothera nuttallii"
"N","Onagraceae","H","Oenothera parviflora var. oakesiana","northern evening primrose","Oenothera oakesiana"
"N","Onagraceae","H","Oenothera parviflora s.l., Oenothera parviflora var. parviflora","northern evening primrose","Oenothera parviflora"
"N","Onagraceae","H","Oenothera perennis","perennial evening primrose","Oenothera perennis"
"N","Onagraceae","H","Oenothera rhombipetala","rhombic evening primrose","Oenothera rhombipetala"
"N","Onagraceae","H","Calylophus serrulatus","toothed evening primrose","Oenothera serrulata"
"N","Onagraceae","H","Gaura coccinea","scarlet gaura","Oenothera suffrutescens"
"N","Onagraceae","H","","hairy evening-primrose","Oenothera villosa"
"N","Onagraceae","H","","hairy evening-primrose","Oenothera villosa subsp. strigosa"
"N","Onagraceae","H","Oenothera biennis var. canescens","hairy evening-primrose","Oenothera villosa subsp. villosa"
"N","Dryopteridaceae","H","Onoclea sensibilis","sensitive fern","Onoclea sensibilis"
"N","Boraginaceae","H","Onosmodium molle","false gromwell","Onosmodium molle"
"N","Boraginaceae","H","Onosmodium molle var. hispidissimum","false gromwell","Onosmodium molle var. hispidissimum"
"N","Boraginaceae","H","Onosmodium molle var. occidentale","false gromwell","Onosmodium molle var. occidentale"
"N","Ophioglossaceae","H","Ophioglossum vulgatum var. pseudopodum","northern adder’s tongue","Ophioglossum pusillum"
"N","Cactaceae","H,K","Opuntia fragilis","brittle prickly pear","Opuntia fragilis"
"N","Cactaceae","K","Opuntia humifusa","devil's tongue","Opuntia humifusa"
"I","Liliaceae","H","Ornithogalum umbellatum","star-of-bethlehem","Ornithogalum umbellatum"
"N","Orobanchaceae","H","Orobanche fasciculata","clustered broomrape","Orobanche fasciculata"
"N","Orobanchaceae","H","Orobanche ludoviciana, Orobanche ludoviciana var. ludoviciana","Louisiana broomrape","Orobanche ludoviciana"
"N","Orobanchaceae","H","","one-flowered broomrape","Orobanche uniflora subsp. uniflora"
"N","Pyrolaceae","H","Pyrola secunda","one-sided pyrola","Orthilia secunda"
"N","unknown","H","Orthocarpus luteus","owl clover","Orthocarpus luteus"
"N","Poaceae","G","Oryzopsis asperifolia","mountain ricegrass","Oryzopsis asperifolia"
"N","Apiaceae","H","Osmorhiza chilensis","Chilean sweet cicely","Osmorhiza berteroi"
"N","Apiaceae","H","Osmorhiza claytonii","Clayton's sweet cicely","Osmorhiza claytonii"
"N","Apiaceae","H","Osmorhiza depauperata","blunt-fruited sweet cicely","Osmorhiza depauperata"
"N","Apiaceae","H","Osmorhiza longistylis","aniseroot","Osmorhiza longistylis"
"N","Osmundaceae","H","Osmunda regalis var. spectabilis","royal fern","Osmunda regalis var. spectabilis"
"N","Osmundaceae","H","Osmunda cinnamomea","cinnamon fern","Osmundastrum cinnamomeum"
"N","Betulaceae","D","Ostrya virginiana","ironwood","Ostrya virginiana"
"N","Oxalidaceae","H","Oxalis dillenii","southern wood-sorrel","Oxalis dillenii"
"N","Oxalidaceae","H","Oxalis acetosella","white wood-sorrel","Oxalis montana"
"N","Oxalidaceae","H","Oxalis stricta","yellow wood-sorrel","Oxalis stricta"
"N","Oxalidaceae","H","Oxalis violacea","violet wood-sorrel","Oxalis violacea"
"N","Apiaceae","H","Oxypolis rigidior","cowbane","Oxypolis rigidior"
"N","unknown","H","Oxytropis viscida","sticky locoweed","Oxytropis borealis var. viscida"
"N","unknown","H","Oxytropis campestris var. chartacea","field locoweed","Oxytropis campestris var. dispar"
"N","unknown","H","Oxytropis lambertii var. lambertii","Lambert's locoweed","Oxytropis lambertii var. lambertii"
"N","Asteraceae","H","Senecio aureus","golden ragwort","Packera aurea"
"N","Asteraceae","H","Senecio canus","gray ragwort","Packera cana"
"N","Asteraceae","H","Senecio indecorus","elegant groundsel","Packera indecora"
"N","Asteraceae","H","Senecio pauperculus","balsam ragwort","Packera paupercula"
"N","Asteraceae","H","Senecio plattensis","prairie ragwort","Packera plattensis"
"N","Asteraceae","H","Senecio pseudaureus, Senecio pseudaureus var. semicordatus","western heart-leaved groundsel","Packera pseudaurea var. semicordata"
"N","Araliaceae","H","Panax quinquefolius","American ginseng","Panax quinquefolius"
"N","Araliaceae","H","Panax trifolius","dwarf ginseng","Panax trifolius"
"N","Poaceae","G","Panicum capillare","witch grass","Panicum capillare subsp. capillare"
"N","Poaceae","G","Panicum dichotomiflorum","fall panic grass","Panicum dichotomiflorum subsp. dichotomiflorum"
"I","Poaceae","G","Panicum miliaceum","broomcorn millet","Panicum miliaceum subsp. ruderale"
"N","Poaceae","G","","Philadelphia panic grass","Panicum philadelphicum subsp. philadelphicum"
"N","Poaceae","G","Panicum virgatum","switchgrass","Panicum virgatum"
"N","Urticaceae","H","Parietaria pensylvanica","pellitory","Parietaria pensylvanica"
"N","Saxifragaceae","H","Parnassia glauca","American grass-of-parnassus","Parnassia glauca"
"N","Saxifragaceae","H","Parnassia palustris","marsh grass-of-parnassus","Parnassia palustris"
"N","Caryophyllaceae","H","Paronychia canadensis","Canada forked chickweed","Paronychia canadensis"
"N","Caryophyllaceae","H","Paronychia fastigiata var. fastigiata","forked chickweed","Paronychia fastigiata var. fastigiata"
"N","Asteraceae","H","Parthenium integrifolium","wild quinine","Parthenium integrifolium"
"N","Vitaceae","C","Parthenocissus quinquefolia","Virginia creeper","Parthenocissus quinquefolia"
"N","Vitaceae","C","Parthenocissus vitacea","woodbine","Parthenocissus vitacea"
"N","Poaceae","G","Elytrigia smithii","western wheatgrass","Pascopyrum smithii"
"N","Poaceae","G","Paspalum setaceum","hairy beadgrass","Paspalum setaceum"
"N","Poaceae","G","Paspalum setaceum var. muhlenbergii","hurrahgrass","Paspalum setaceum var. muhlenbergii"
"N","Poaceae","G","Paspalum setaceum var. stramineum","yellow sand paspalum","Paspalum setaceum var. stramineum"
"I","Apiaceae","H","Pastinaca sativa","wild parsnip","Pastinaca sativa"
"N","Scrophulariaceae","H","Pedicularis canadensis","wood betony","Pedicularis canadensis"
"N","Scrophulariaceae","H","Pedicularis lanceolata","swamp lousewort","Pedicularis lanceolata"
"N","Fabaceae","H","Pediomelum argophyllum","silverleaf scurfpea","Pediomelum argophyllum"
"N","Fabaceae","H","Pediomelum esculentum","prairie turnip","Pediomelum esculentum"
"N","Fabaceae","H","Psoralidium tenuiflorum","slender-leaved scurfpea","Pediomelum tenuiflorum"
"N","Pteridaceae","H","Pellaea atropurpurea","purple cliffbrake","Pellaea atropurpurea"
"N","Pteridaceae","H","","smooth cliffbrake","Pellaea glabella subsp. glabella"
"I","Araceae","H","Peltandra virginica","green arrow arum","Peltandra virginica"
"N","Scrophulariaceae","H","Penstemon albidus","white beard tongue","Penstemon albidus"
"N","Scrophulariaceae","H","Penstemon digitalis","foxglove beard tongue","Penstemon digitalis"
"N","Scrophulariaceae","H","Penstemon gracilis","slender beard tongue","Penstemon gracilis"
"N","Scrophulariaceae","H","Penstemon grandiflorus","large-flowered beard tongue","Penstemon grandiflorus"
