"native","family","physiognomy","synonymGC","commonName","nameDNR"
"I","Primulaceae","H","Anagallis arvensis","pimpernel","Anagallis arvensis"
"N","Primulaceae","H","Centunculus minimus","chaffweed","Anagallis minima"
"N","Asteraceae","H","Anaphalis margaritacea","pearly everlasting","Anaphalis margaritacea"
"I","Boraginaceae","H","Anchusa arvensis","alkanet","Anchusa arvensis"
"N","Ericaceae","B","","bog rosemary","Andromeda polifolia var. latifolia"
"N","Poaceae","G","Andropogon gerardii","big bluestem","Andropogon gerardii"
"N","Primulaceae","H","Androsace occidentalis","western androsace","Androsace occidentalis"
"N","Primulaceae","H","Androsace septentrionalis","northern androsace","Androsace septentrionalis"
"N","Ranunculaceae","H","Hepatica acutiloba","sharp-lobed hepatica","Anemone acutiloba"
"N","Ranunculaceae","H","Hepatica americana","round-lobed hepatica","Anemone americana"
"N","Ranunculaceae","H","Anemone canadensis","canada anemone","Anemone canadensis"
"N","Ranunculaceae","H","Anemone caroliniana","Carolina thimbleweed","Anemone caroliniana"
"N","Ranunculaceae","H","Anemone cylindrica","long-headed thimbleweed","Anemone cylindrica"
"U","Ranunculaceae","H","","cutleaf anemone","Anemone multifida var. multifida"
"N","Ranunculaceae","H","Anemone patens var. multifida","pasqueflower","Anemone patens var. multifida"
"N","Ranunculaceae","H","Anemone quinquefolia var. quinquefolia","wood anemone","Anemone quinquefolia var. quinquefolia"
"N","Ranunculaceae","H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana"
"N","Ranunculaceae","H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. alba"
"N","Ranunculaceae","H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. cylindroidea"
"N","Ranunculaceae","H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. virginiana"
"I","Apiaceae","H","Anethum graveolens","dill","Anethum graveolens"
"N","Apiaceae","H","Angelica atropurpurea","angelica","Angelica atropurpurea"
"N","Asteraceae","H","Antennaria neglecta s.l.","Howell's pussytoes","Antennaria howellii"
"N","Asteraceae","H","Antennaria neglecta var. canadensis","Howell's pussytoes","Antennaria howellii subsp. canadensis"
"N","Asteraceae","H","Antennaria neglecta var. neodioica","Howell's pussytoes","Antennaria howellii subsp. neodioica"
"N","Asteraceae","H","Antennaria neglecta var. petaloidea","Howell's pussytoes","Antennaria howellii subsp. petaloidea"
"N","Asteraceae","H","Antennaria microphylla","tiny-leaved pussytoes","Antennaria microphylla"
"N","Asteraceae","H","Antennaria neglecta s.l., Antennaria neglecta var. neglecta","field pussytoes","Antennaria neglecta"
"N","Asteraceae","H","Antennaria plantaginifolia s.l.","Parlin's pussytoes","Antennaria parlinii"
"N","Asteraceae","H","Antennaria plantaginifolia var. ambigens","Parlin's pussytoes","Antennaria parlinii subsp. fallax"
"N","Asteraceae","H","Antennaria plantaginifolia var. parlinii","Parlin's pussytoes","Antennaria parlinii subsp. parlinii"
"N","Asteraceae","H","Antennaria parvifolia","small-leaved pussytoes","Antennaria parvifolia"
"N","Asteraceae","H","Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia","plantain-leaved pussytoes","Antennaria plantaginifolia"
"I","Asteraceae","H","Anthemis cotula","dog fennel","Anthemis cotula"
"N","Poaceae","G","Hierochloe odorata","sweet grass","Anthoxanthum hirtum"
"I","Poaceae","G","Anthoxanthum odoratum","sweet vernal grass","Anthoxanthum odoratum"
"I","Apiaceae","H","Anthriscus sylvestris","chervil","Anthriscus sylvestris"
"N","Fabaceae","H","Apios americana","groundnut","Apios americana"
"N","Orchidaceae","H","Aplectrum hyemale","puttyroot","Aplectrum hyemale"
"N","Apocynaceae","H","Apocynum androsaemifolium","spreading dogbane","Apocynum androsaemifolium"
"N","Apocynaceae","H","Apocynum cannabinum, Apocynum sibiricum","American hemp","Apocynum cannabinum"
"N","Ranunculaceae","H","Aquilegia canadensis","columbine","Aquilegia canadensis"
"N","Brassicaceae","H","","lyre-leaved rock cress","Arabidopsis lyrata subsp. lyrata"
"I","Brassicaceae","H","","mouse ear cress","Arabidopsis thaliana"
"N","Brassicaceae","H","Arabis hirsuta var. pycnocarpa","hairy rock cress","Arabis pycnocarpa var. pycnocarpa"
"N","Araliaceae","D,H","Aralia hispida","bristly sarsaparilla","Aralia hispida"
"N","Araliaceae","H","Aralia nudicaulis","wild sarsaparilla","Aralia nudicaulis"
"N","Araliaceae","H","Aralia racemosa","American spikenard","Aralia racemosa"
"N","unknown","X","Arceuthobium pusillum","dwarf mistletoe","Arceuthobium pusillum"
"I","Asteraceae","H","Arctium lappa","great burdock","Arctium lappa"
"I","Asteraceae","H","Arctium minus","common burdock","Arctium minus"
"I","Asteraceae","H","Arctium tomentosum","woolly burdock","Arctium tomentosum"
"N","Ericaceae","B","Arctostaphylos uva-ursi","bearberry","Arctostaphylos uva-ursi"
"I","Caryophyllaceae","H","","thyme-leaved sandwort","Arenaria serpyllifolia var. serpyllifolia"
"N","Orchidaceae","H","Arethusa bulbosa","dragon's mouth","Arethusa bulbosa"
"N","Araceae","H","Arisaema dracontium","green dragon","Arisaema dracontium"
"N","Araceae","H","Arisaema triphyllum, Arisaema triphyllum var. pusillum, Arisaema triphyllum var. triphyllum","Jack-in-the-pulpit","Arisaema triphyllum"
"N","Poaceae","G","Aristida basiramea","base-branched three-awn","Aristida basiramea"
"N","Poaceae","G","Aristida dichotoma var. curtissii","churchmouse three-awn","Aristida dichotoma var. curtissii"
"N","Poaceae","G","Aristida longespica var. geniculata","slimspike three-awn","Aristida longespica var. geniculata"
"N","Poaceae","G","Aristida oligantha","prairie three-awn","Aristida oligantha"
"N","Poaceae","G","Aristida purpurea var. longiseta","red three-awn","Aristida purpurea var. longiseta"
"N","Poaceae","G","Aristida tuberculosa","seaside three-awn","Aristida tuberculosa"
"I","Brassicaceae","H","Armoracia rusticana","horseradish","Armoracia rusticana"
"N","unknown","H","Arnica lonchophylla","long-leaved arnica","Arnica lonchophylla"
"N","Asteraceae","H","Cacalia plantaginea","tuberous Indian plantain","Arnoglossum plantagineum"
"N","Asteraceae","H","Cacalia muhlenbergii","great Indian plantain","Arnoglossum reniforme"
"N","Rosaceae","D","Aronia melanocarpa","black chokeberry","Aronia melanocarpa"
"I","Asteraceae","H","Artemisia abrotanum","southernwood","Artemisia abrotanum"
"I","Asteraceae","H","Artemisia absinthium","absinthe wormwood","Artemisia absinthium"
"I","Asteraceae","H","Artemisia biennis","biennial wormwood","Artemisia biennis"
"N","Asteraceae","H","Artemisia campestris subsp. caudata","field sagewort","Artemisia campestris subsp. caudata"
"N","Asteraceae","H","Artemisia dracunculus","tarragon","Artemisia dracunculus"
"N","Asteraceae","H","Artemisia frigida","sage wormwood","Artemisia frigida"
"N","Asteraceae","H","Artemisia ludoviciana var. ludoviciana","white sage","Artemisia ludoviciana subsp. ludoviciana"
"N","Asteraceae","H","Artemisia serrata","saw-tooth wormwood","Artemisia serrata"
