"native","physiognomy","nameDNR","commonName","emergingTaxonomy","synonymGC","genus"
"I","H","Leucanthemum vulgare","ox-eye daisy","","Chrysanthemum leucanthemum","Leucanthemum"
"N","H","Leucophysalis grandiflora","dwarf ground cherry","","Leucophysalis grandiflora","Leucophysalis"
"N","H","Leucospora multifida","narrowleaf paleseed","","Leucospora multifida","Leucospora"
"I","H","Levisticum officinale","lovage","","","Levisticum"
"N","H","Liatris aspera","rough blazing star","","Liatris aspera","Liatris"
"N","H","Liatris cylindracea","cylindric blazing star","","Liatris cylindracea","Liatris"
"N","H","Liatris ligulistylis","northern plains blazing star","","Liatris ligulistylis","Liatris"
"N","H","Liatris punctata var. punctata","dotted blazing star","","Liatris punctata","Liatris"
"N","H","Liatris pycnostachya var. pycnostachya","great blazing star","","Liatris pycnostachya","Liatris"
"I","H","Lilium lancifolium","tiger lily","","Lilium lancifolium","Lilium"
"N","H","Lilium michiganense","Michigan lily","","Lilium michiganense","Lilium"
"N","H","Lilium philadelphicum","wood lily","","Lilium philadelphicum var. andinum","Lilium"
"N","H","Limosella aquatica","mudwort","","Limosella aquatica","Limosella"
"I","H","Linaria dalmatica subsp. dalmatica	","dalmatian toadflax","","","Linaria"
"I","H","Linaria vulgaris","butter-and-eggs","","Linaria vulgaris","Linaria"
"N","H","Lindernia dubia","yellow-seeded false pimpernel","","Lindernia dubia, Lindernia dubia var. anagallidea, Lindernia dubia var. dubia","Lindernia"
"N","H","Linnaea borealis var. longiflora","twinflower","","Linnaea borealis var. longiflora","Linnaea"
"N","H","Linum lewisii var. lewisii","blue flax","","","Linum"
"I","H","Linum perenne","blue flax","","","Linum"
"N","H","Linum rigidum","stiffstem flax","","Linum rigidum","Linum"
"N","H","Linum rigidum var. rigidum","stiff-stem yellow flax","","Linum rigidum var. rigidum","Linum"
"N","H","Linum rigidum var. simulans","stiffstem flax","","","Linum"
"N","H","Linum sulcatum","grooved yellow flax","","Linum sulcatum","Linum"
"I","H","Linum usitatissimum","common flax","","Linum usitatissimum","Linum"
"N","H","Liparis liliifolia","lily-leaved twayblade","","Liparis liliifolia","Liparis"
"N","H","Liparis loeselii","Loesel's twayblade","","Liparis loeselii","Liparis"
"N","H","Listera auriculata","auricled twayblade","","Listera auriculata","Listera"
"N","H","Listera convallarioides","broad-leaved twayblade","","Listera convallarioides","Listera"
"N","H","Listera cordata var. cordata","heart-leaved twayblade","","Listera cordata","Listera"
"N","H","Lithospermum canescens","hoary puccoon","","Lithospermum canescens","Lithospermum"
"N","H","Lithospermum caroliniense var. croceum","hairy puccoon","","Lithospermum caroliniense var. croceum","Lithospermum"
"N","H","Lithospermum incisum","narrow-leaved puccoon","","Lithospermum incisum","Lithospermum"
"N","H","Lithospermum latifolium","American gromwell","","Lithospermum latifolium","Lithospermum"
"N","H,S","Littorella americana","American shore plantain","","Littorella uniflora var. americana","Littorella"
"N","H","Lobelia cardinalis var. cardinalis","cardinal flower","","Lobelia cardinalis var. cardinalis","Lobelia"
"N","H,S","Lobelia dortmanna","water lobelia","","Lobelia dortmanna","Lobelia"
"N","H","Lobelia inflata","Indian tobacco","","Lobelia inflata","Lobelia"
"N","H","Lobelia kalmii","Kalm's lobelia","","Lobelia kalmii","Lobelia"
"N","H","Lobelia siphilitica","great lobelia","","Lobelia siphilitica","Lobelia"
"N","H","Lobelia siphilitica var. ludoviciana","great lobelia","","Lobelia siphilitica var. ludoviciana","Lobelia"
"N","H","Lobelia siphilitica var. siphilitica","great lobelia","","Lobelia siphilitica var. siphilitica","Lobelia"
"N","H","Lobelia spicata","pale-spiked lobelia","","Lobelia spicata","Lobelia"
"N","H","Lobelia spicata var. hirtella","rough-spiked lobelia","","Lobelia spicata var. hirtella","Lobelia"
"N","H","Lobelia spicata var. spicata","rough-spiked lobelia","","Lobelia spicata var. spicata","Lobelia"
"I","H","Lobularia maritima","sweet alyssum","","Lobularia maritima","Lobularia"
"I","H","Logfia arvensis","field cotton rose","","Filago arvensis","Logfia"
"I","G","Lolium multiflorum","Italian ryegrass","","","Lolium"
"I","G","Lolium perenne","English rye grass","","Lolium perenne, Lolium perenne var. aristatum, Lolium perenne var. perenne","Lolium"
"N","H","Lomatium orientale","desert parsley","","Lomatium orientale","Lomatium"
"N","D","Lonicera caerulea var. villosa","mountain fly honeysuckle","","Lonicera caerulea var. villosa","Lonicera"
"N","D","Lonicera canadensis","fly honeysuckle","","Lonicera canadensis","Lonicera"
"N","C","Lonicera dioica","wild honeysuckle","","Lonicera dioica","Lonicera"
"N","C","Lonicera dioica var. dioica","wild honeysuckle","","Lonicera dioica var. dioica","Lonicera"
"N","C","Lonicera dioica var. glaucescens","wild honeysuckle","","Lonicera dioica var. glaucescens","Lonicera"
"N","D","Lonicera hirsuta","hairy honeysuckle","","Lonicera hirsuta","Lonicera"
"I","D","Lonicera morrowii","Morrow's honeysuckle","","Lonicera morrowii","Lonicera"
"N","D","Lonicera oblongifolia","swamp fly honeysuckle","","Lonicera oblongifolia","Lonicera"
"N","C","Lonicera reticulata","grape honeysuckle","","Lonicera prolifera, Lonicera reticulata s.s.","Lonicera"
"I","D","Lonicera tatarica","tartarian honeysuckle","","Lonicera tatarica","Lonicera"
"I","D","Lonicera xbella","pretty honeysuckle","","Lonicera xbella","Lonicera"
"I","H","Lotus corniculatus","bird's-foot trefoil","","Lotus corniculatus","Lotus"
"N","H","Ludwigia palustris","common water primrose","","Ludwigia palustris","Ludwigia"
"N","H","Ludwigia polycarpa","false loosestrife","","Ludwigia polycarpa","Ludwigia"
"N","H","Lupinus perennis","wild lupine","","Lupinus perennis","Lupinus"
"I","H","Lupinus polyphyllus","large-leaved lupine","","Lupinus polyphyllus","Lupinus"
"N","G","Luzula acuminata var. acuminata","pointed woodrush","","Luzula acuminata","Luzula"
"I","G","Luzula luzuloides subsp. luzuloides","Lamarck's woodrush","","Luzula luzuloides","Luzula"
"N","G","Luzula multiflora subsp. multiflora","many-flowered woodrush","","Luzula multiflora","Luzula"
"N","G","Luzula parviflora subsp. melanocarpa","small-flowered woodrush","","","Luzula"
"I","D","Lycium barbarum","matrimony vine","","Lycium barbarum","Lycium"
"N","H","Lycopodiella inundata","northern bog clubmoss","","Lycopodium inundatum","Lycopodiella"
"N","H","Lycopodium clavatum","common clubmoss","","Lycopodium clavatum s.l.","Lycopodium"
"N","H","Lycopodium lagopus","one-cone clubmoss","","Lycopodium clavatum s.l.","Lycopodium"
"N","H","Lycopus americanus","cut-leaved bugleweed","","Lycopus americanus","Lycopus"
"N","H","Lycopus asper","rough bugleweed","","Lycopus asper","Lycopus"
"N","H","Lycopus uniflorus","northern bugleweed","","Lycopus uniflorus","Lycopus"
"N","H","Lycopus virginicus","Virginia bugleweed","","Lycopus virginicus","Lycopus"
"N","H","Lycopus xsherardii","Sherard's bugleweed","","Lycopus xsherardii","Lycopus"
"N","H","Lygodesmia juncea","skeletonweed","","Lygodesmia juncea","Lygodesmia"
"N","H","Lysimachia ciliata","fringed loosestrife","","Lysimachia ciliata","Lysimachia"
"N","H","Lysimachia hybrida","hybrid loosestrife","","Lysimachia hybrida","Lysimachia"
"N","H","Lysimachia lanceolata","lance-leaved loosestrife","","","Lysimachia"
"N","H","Lysimachia maritima","sea milkwort","","Glaux maritima","Lysimachia"
"I","H","Lysimachia nummularia","moneywort","","Lysimachia nummularia","Lysimachia"
"N","H","Lysimachia quadriflora","prairie loosestrife","","Lysimachia quadriflora","Lysimachia"
"N","H","Lysimachia quadrifolia","whorled loosestrife","","Lysimachia quadrifolia","Lysimachia"
"N","H","Lysimachia terrestris","swamp candles","","Lysimachia terrestris","Lysimachia"
"N","H","Lysimachia thyrsiflora","tufted loosestrife","","Lysimachia thyrsiflora","Lysimachia"
"I","H","Lysimachia vulgaris","garden yellow loosestrife","","Lysimachia vulgaris","Lysimachia"
"N","H","Lysimachia xcommixta","mixed loosestrife","","Lysimachia xcommixta","Lysimachia"
"N","H","Lythrum alatum var. alatum","winged loosesrtife","","Lythrum alatum var. alatum","Lythrum"
"I","H","Lythrum salicaria","purple loosestrife","","Lythrum salicaria","Lythrum"
"I","H","Madia glomerata","tarweed","","Madia glomerata","Madia"
"N","H","Maianthemum canadense","Canada mayflower","","Maianthemum canadense, Maianthemum canadense var. canadense, Maianthemum canadense var. interius","Maianthemum"
"N","H","Maianthemum racemosum subsp. racemosum","common false Solomon's seal","","Smilacina racemosa","Maianthemum"
"N","H","Maianthemum stellatum","starry false Solomon's seal","","Smilacina stellata","Maianthemum"
"N","H","Maianthemum trifolium","three-leaved false Solomon's seal","","Smilacina trifolia","Maianthemum"
"N","H","Malaxis monophyllos var. brachypoda","white adder's mouth","","Malaxis monophyllos var. brachypoda","Malaxis"
"N","H","Malaxis paludosa","bog adder's mouth","","Malaxis paludosa","Malaxis"
"N","H","Malaxis unifolia","green adder's mouth","","Malaxis unifolia","Malaxis"
"N","D","Malus ioensis","prairie crabapple","","Pyrus ioensis","Malus"
"I","H","Malva neglecta","common mallow","","Malva neglecta","Malva"
"I","H","Malva pusilla","dwarf mallow","","Malva rotundifolia","Malva"
"I","","Marsilea quadrifolia","European water clover","","","Marsilea"
"N","H","Marsilea vestita","hairy water-clover","","Marsilea vestita","Marsilea"
"I","H","Matricaria chamomilla","wild chamomile","","Matricaria recutita","Matricaria"
"I","H","Matricaria discoidea","pineapple weed","","Matricaria matricarioides","Matricaria"
"N","H","Matteuccia struthiopteris var. pensylvanica","ostrich fern","","Matteuccia struthiopteris","Matteuccia"
"I","H","Medicago lupulina","black medick","","Medicago lupulina","Medicago"
"I","H","Medicago sativa","alfalfa","","Medicago sativa","Medicago"
"I","H","Medicago sativa subsp. falcata","yellow flowered alfalfa","","Medicago sativa subsp. falcata","Medicago"
"I","H","Medicago sativa subsp. sativa","purple alfalfa","","Medicago sativa subsp. sativa","Medicago"
"N","H","Melampyrum lineare","cow wheat","","Melampyrum lineare","Melampyrum"
"N","H","Melampyrum lineare var. americanum","cow wheat","","Melampyrum lineare var. americanum","Melampyrum"
"N","H","Melampyrum lineare var. lineare","cow wheat","","Melampyrum lineare var. lineare","Melampyrum"
"N","G","Melica nitens","three-flowered melic","","Melica nitens","Melica"
"I","H","Melilotus albus","white sweet clover","","Melilotus albus","Melilotus"
"I","H","Melilotus officinalis","yellow sweet clover","","Melilotus officinalis","Melilotus"
"N","C","Menispermum canadense","Canada moonseed","","Menispermum canadense","Menispermum"
"N","H","Mentha arvensis var. canadensis","common mint","","Mentha arvensis var. canadensis","Mentha"
"I","H","Mentha spicata","spearmint","","Mentha spicata s.s.","Mentha"
"I","H","Mentha xgentilis","heartmint","","Mentha xgentilis","Mentha"
"N","H","Menyanthes trifoliata","buckbean","","Menyanthes trifoliata","Menyanthes"
"N","H","Mertensia paniculata","panicled bluebells","","Mertensia paniculata","Mertensia"
"N","H","Mertensia virginica","Virginia bluebells","","Mertensia virginica","Mertensia"
"N","H","Micranthes pensylvanica","swamp saxifrage","","Saxifraga pensylvanica","Micranthes"
"N","H","Micranthes virginiensis","Virginia saxifrage","","Saxifraga virginiensis","Micranthes"
"N","G","Milium effusum var. cisatlanticum","woodland millet grass","","Milium effusum","Milium"
"N","H","Mimulus ringens var. ringens","blue monkey flower","","Mimulus ringens var. ringens","Mimulus"
"N","H","Minuartia dawsonensis","rock sandwort","","Arenaria stricta var. litorea","Minuartia"
"N","H","Mirabilis albida","hairy four o'clock","","Mirabilis hirsuta","Mirabilis"
"N","H","Mirabilis linearis var. linearis","narrow-leaved four o'clock","","Mirabilis linearis","Mirabilis"
"N","H","Mirabilis nyctaginea","heart-leaved four o'clock","","Mirabilis nyctaginea","Mirabilis"
"I","G","Miscanthus sacchariflorus","amur silver grass","","Miscanthus sacchariflorus","Miscanthus"
"N","H","Mitchella repens","partridgeberry","","Mitchella repens","Mitchella"
"N","H","Mitella diphylla","two-leaved miterwort","","Mitella diphylla","Mitella"
"N","H","Mitella nuda","naked miterwort","","Mitella nuda","Mitella"
"N","H","Moehringia lateriflora","side-flowering sandwort","","Arenaria lateriflora","Moehringia"
"N","H","Moehringia macrophylla","large-leaved sandwort","","Arenaria macrophylla","Moehringia"
"N","H","Mollugo verticillata","carpetweed","","Mollugo verticillata","Mollugo"
"N","H","Monarda fistulosa","wild bergamot","","Monarda fistulosa","Monarda"
"N","H","Monarda fistulosa var. fistulosa","wild bergamot","","Monarda fistulosa var. fistulosa","Monarda"
"N","H","Monarda fistulosa var. menthaefolia","wild bergamot","","Monarda fistulosa var. menthaefolia","Monarda"
"N","H","Monarda punctata var. villicaulis","spotted horsemint","","Monarda punctata var. villicaulis","Monarda"
"N","H","Moneses uniflora","one-flowered pyrola","","Moneses uniflora","Moneses"
"N","H","Monolepis nuttalliana","povertyweed","","Monolepis nuttalliana","Monolepis"
"N","H","Monotropa hypopitys","pinesap","","Monotropa hypopithys","Monotropa"
"N","H","Monotropa uniflora","Indian pipe","","Monotropa uniflora","Monotropa"
"N","H","Montia chamissoi","montia","","Montia chamissoi","Montia"
"I","D","Morus alba","white mulberry","","Morus alba","Morus"
"N","D","Morus rubra","red mulberry","","Morus rubra","Morus"
"N","G","Muhlenbergia asperifolia","scratchgrass","","Muhlenbergia asperifolia","Muhlenbergia"
"N","G","Muhlenbergia cuspidata","Plains muhly","","Muhlenbergia cuspidata","Muhlenbergia"
"N","G","Muhlenbergia frondosa","swamp muhly grass","","Muhlenbergia frondosa","Muhlenbergia"
"N","G","Muhlenbergia glomerata","clustered muhly grass","","Muhlenbergia glomerata","Muhlenbergia"
"N","G","Muhlenbergia mexicana","Mexican muhly grass","","Muhlenbergia mexicana","Muhlenbergia"
"N","G","Muhlenbergia mexicana var. filiformis","Mexican muhly grass","","Muhlenbergia mexicana","Muhlenbergia"
"N","G","Muhlenbergia mexicana var. mexicana","Mexican muhly grass","","Muhlenbergia mexicana","Muhlenbergia"
"N","G","Muhlenbergia racemosa","marsh muhly grass","","Muhlenbergia racemosa","Muhlenbergia"
"N","G","Muhlenbergia richardsonis","mat muhly grass","","Muhlenbergia richardsonis","Muhlenbergia"
"N","G","Muhlenbergia schreberi","dropseed muhly grass","","Muhlenbergia schreberi","Muhlenbergia"
"N","G","Muhlenbergia sylvatica","woodland muhly grass","","Muhlenbergia sylvatica","Muhlenbergia"
"N","G","Muhlenbergia uniflora","one-flowered muhly","","Muhlenbergia uniflora","Muhlenbergia"
"N","H","Mulgedium pulchellum","beautiful blue lettuce","","Lactuca pulchella","Mulgedium"
"I","H","Myosotis arvensis","field forget-me-not","","Myosotis arvensis","Myosotis"
"N","H","Myosotis laxa","smaller forget-me-not","","Myosotis laxa","Myosotis"
"I","H","Myosotis scorpioides","true forget-me-not","","Myosotis scorpioides","Myosotis"
"I","H","Myosotis sylvatica","woodland forget-me-not","","Myosotis sylvatica","Myosotis"
"N","H","Myosotis verna","Virginia forget-me-not","","Myosotis verna","Myosotis"
"I","H","Myosoton aquaticum","giant chickweed","","Stellaria aquatica","Myosoton"
"N","H","Myosurus minimus","mousetail","","Myosurus minimus","Myosurus"
"N","D","Myrica gale","sweet gale","","Myrica gale","Myrica"
"N","H,S","Myriophyllum alterniflorum","alternate-flower water milfoil","","Myriophyllum alterniflorum","Myriophyllum"
"N","H,S","Myriophyllum farwellii","Farwell's water milfoil","","Myriophyllum farwellii","Myriophyllum"
"N","H,S","Myriophyllum heterophyllum","broadleaf water milfoil","","Myriophyllum heterophyllum","Myriophyllum"
"U","H,S","Myriophyllum pinnatum","cutleaf watermilfoil","","","Myriophyllum"
"N","H,S","Myriophyllum sibiricum","northern water milfoil","","Myriophyllum sibiricum","Myriophyllum"
"I","H,S","Myriophyllum spicatum","Eurasian water milfoil","","Myriophyllum spicatum","Myriophyllum"
"N","H,S","Myriophyllum tenellum","slender water milfoil","","Myriophyllum tenellum","Myriophyllum"
"N","H,S","Myriophyllum verticillatum","whorled water milfoil","","Myriophyllum verticillatum","Myriophyllum"
"N","H","Myriopteris gracilis","slender lip fern","","Cheilanthes feei","Myriopteris"
"N","H,S","Najas flexilis","flexuous naiad","","Najas flexilis","Najas"
"N","H,S","Najas gracillima","slender naiad","","Najas gracillima","Najas"
"N","H,S","Najas guadalupensis","southern naiad","Najas guadalupensis s.s.","Najas guadalupensis s.l.","Najas"
"N","H,S","Najas guadalupensis subsp. guadalupensis","guadalupian southern naid","Najas guadalupensis subsp. guadalupensis","Najas guadalupensis var. guadalupensis","Najas"
"N","H,S","Najas guadalupensis subsp. olivacea","olive-colored southern naiad","Najas olivacea","Najas guadalupensis var. olivacea","Najas"
"N","H,S","Najas marina","sea naiad","","Najas marina","Najas"
"I","H,S","Najas minor","brittle water-nymph","","Najas minor","Najas"
"N","H","Napaea dioica","glade mallow","","Napaea dioica","Napaea"
"N","G","Nassella viridula","green needle grass","","Stipa viridula","Nassella"
"I","H","Nasturtium microphyllum","one-row yellowcress","","Rorippa nasturtium-aquaticum","Nasturtium"
"I","H","Nasturtium officinale","small-leaved water cress","","Rorippa nasturtium-aquaticum","Nasturtium"
"N","H","Nelumbo lutea","American lotus","","Nelumbo lutea","Nelumbo"
"N","D","Nemopanthus mucronatus","swamp holly","","Nemopanthus mucronatus","Nemopanthus"
"I","H","Nepeta cataria","catnip","","Nepeta cataria","Nepeta"
"I","H","Neslia paniculata","ball mustard","","Neslia paniculata","Neslia"
"N","H","Nothocalais cuspidata","prairie false dandelion","","Microseris cuspidata","Nothocalais"
"N","F,H","Nuphar microphylla","yellow pond-lily","","Nuphar microphylla","Nuphar"
"N","H","Nuphar rubrodisca","yellow pond-lily","","Nuphar xrubrodisca","Nuphar"
"N","F,H","Nuphar variegata","bullhead pond-lily","","Nuphar variegata","Nuphar"
"N","H","Nuttallanthus canadensis","old field toadflax","","Linaria canadensis var. canadensis","Nuttallanthus"
"N","F,H","Nymphaea leibergii","small white waterlily","","Nymphaea tetragona","Nymphaea"
"N","F,H","Nymphaea odorata","American white waterlily","","Nymphaea odorata s.l.","Nymphaea"
"N","F,H","Nymphaea odorata subsp. odorata","American white waterlily","","Nymphaea odorata var. odorata","Nymphaea"
"N","F,H","Nymphaea odorata subsp. tuberosa","American white waterlily","","","Nymphaea"
"I","H","Odontites vulgaris","red bartsia","","","Odontites"
"N","H","Oenothera biennis","common evening primrose","","Oenothera biennis s.s., Oenothera biennis var. biennis","Oenothera"
"N","H","Oenothera clelandii","Cleland's evening primrose","","Oenothera clelandii","Oenothera"
"I","H","Oenothera curtiflora","velvetweed","","","Oenothera"
"N","H","Oenothera gaura","biennial gaura","","Gaura biennis, Gaura biennis var. biennis","Oenothera"
"N","H","Oenothera laciniata","cut-leaved evening primrose","","Oenothera laciniata, Oenothera laciniata var. laciniata","Oenothera"
"N","H","Oenothera nuttallii","Nuttall's evening primrose","","Oenothera nuttallii","Oenothera"
"N","H","Oenothera oakesiana","northern evening primrose","","Oenothera parviflora var. oakesiana","Oenothera"
"N","H","Oenothera parviflora","northern evening primrose","","Oenothera parviflora s.l., Oenothera parviflora var. parviflora","Oenothera"
"N","H","Oenothera perennis","perennial evening primrose","","Oenothera perennis","Oenothera"
"N","H","Oenothera rhombipetala","rhombic evening primrose","","Oenothera rhombipetala","Oenothera"
"N","H","Oenothera serrulata","toothed evening primrose","","Calylophus serrulatus","Oenothera"
"N","H","Oenothera suffrutescens","scarlet gaura","","Gaura coccinea","Oenothera"
"N","H","Oenothera villosa","hairy evening-primrose","","","Oenothera"
"N","H","Oenothera villosa subsp. strigosa","hairy evening-primrose","","","Oenothera"
"N","H","Oenothera villosa subsp. villosa","hairy evening-primrose","","Oenothera biennis var. canescens","Oenothera"
"N","H","Onoclea sensibilis","sensitive fern","","Onoclea sensibilis","Onoclea"
"N","H","Onosmodium molle","false gromwell","","Onosmodium molle","Onosmodium"
"N","H","Onosmodium molle var. hispidissimum","false gromwell","","Onosmodium molle var. hispidissimum","Onosmodium"
"N","H","Onosmodium molle var. occidentale","false gromwell","","Onosmodium molle var. occidentale","Onosmodium"
"N","H","Ophioglossum pusillum","northern adder’s tongue","","Ophioglossum vulgatum var. pseudopodum","Ophioglossum"
"N","H,K","Opuntia fragilis","brittle prickly pear","","Opuntia fragilis","Opuntia"
"N","K","Opuntia humifusa","devil's tongue","Opuntia humifusa var. humifusa, Opuntia macrorhiza","Opuntia humifusa","Opuntia"
"I","H","Ornithogalum umbellatum","star-of-bethlehem","","Ornithogalum umbellatum","Ornithogalum"
"N","H","Orobanche fasciculata","clustered broomrape","","Orobanche fasciculata","Orobanche"
"N","H","Orobanche ludoviciana","Louisiana broomrape","","Orobanche ludoviciana, Orobanche ludoviciana var. ludoviciana","Orobanche"
"N","H","Orobanche uniflora subsp. uniflora","one-flowered broomrape","","","Orobanche"
"N","H","Orthilia secunda","one-sided pyrola","","Pyrola secunda","Orthilia"
"N","H","Orthocarpus luteus","owl clover","","Orthocarpus luteus","Orthocarpus"
"N","G","Oryzopsis asperifolia","mountain ricegrass","","Oryzopsis asperifolia","Oryzopsis"
"N","H","Osmorhiza berteroi","Chilean sweet cicely","","Osmorhiza chilensis","Osmorhiza"
"N","H","Osmorhiza claytonii","Clayton's sweet cicely","","Osmorhiza claytonii","Osmorhiza"
"N","H","Osmorhiza depauperata","blunt-fruited sweet cicely","","Osmorhiza depauperata","Osmorhiza"
"N","H","Osmorhiza longistylis","aniseroot","","Osmorhiza longistylis","Osmorhiza"
"N","H","Osmunda regalis var. spectabilis","royal fern","","Osmunda regalis var. spectabilis","Osmunda"
"N","H","Osmundastrum cinnamomeum","cinnamon fern","","Osmunda cinnamomea","Osmundastrum"
"N","D","Ostrya virginiana","ironwood","","Ostrya virginiana","Ostrya"
"N","H","Oxalis dillenii","southern wood-sorrel","","Oxalis dillenii","Oxalis"
"N","H","Oxalis montana","white wood-sorrel","","Oxalis acetosella","Oxalis"
"N","H","Oxalis stricta","yellow wood-sorrel","","Oxalis stricta","Oxalis"
"N","H","Oxalis violacea","violet wood-sorrel","","Oxalis violacea","Oxalis"
"N","H","Oxypolis rigidior","cowbane","","Oxypolis rigidior","Oxypolis"
"N","H","Oxytropis borealis var. viscida","sticky locoweed","","Oxytropis viscida","Oxytropis"
"N","H","Oxytropis campestris var. dispar","field locoweed","","Oxytropis campestris var. chartacea","Oxytropis"
"N","H","Oxytropis lambertii var. lambertii","Lambert's locoweed","","Oxytropis lambertii var. lambertii","Oxytropis"
"N","H","Packera aurea","golden ragwort","","Senecio aureus","Packera"
"N","H","Packera cana","gray ragwort","","Senecio canus","Packera"
"N","H","Packera indecora","elegant groundsel","","Senecio indecorus","Packera"
"N","H","Packera paupercula","balsam ragwort","","Senecio pauperculus","Packera"
"N","H","Packera plattensis","prairie ragwort","","Senecio plattensis","Packera"
"N","H","Packera pseudaurea var. semicordata","western heart-leaved groundsel","","Senecio pseudaureus, Senecio pseudaureus var. semicordatus","Packera"
"N","H","Panax quinquefolius","American ginseng","","Panax quinquefolius","Panax"
"N","H","Panax trifolius","dwarf ginseng","","Panax trifolius","Panax"
"N","G","Panicum capillare subsp. capillare","witch grass","","Panicum capillare","Panicum"
"N","G","Panicum dichotomiflorum subsp. dichotomiflorum","fall panic grass","","Panicum dichotomiflorum","Panicum"
"I","G","Panicum miliaceum subsp. ruderale","broomcorn millet","","Panicum miliaceum","Panicum"
"N","G","Panicum philadelphicum subsp. philadelphicum","Philadelphia panic grass","","","Panicum"
"N","G","Panicum virgatum","switchgrass","","Panicum virgatum","Panicum"
"N","H","Parietaria pensylvanica","pellitory","","Parietaria pensylvanica","Parietaria"
"N","H","Parnassia glauca","American grass-of-parnassus","","Parnassia glauca","Parnassia"
"N","H","Parnassia palustris","marsh grass-of-parnassus","","Parnassia palustris","Parnassia"
"N","H","Paronychia canadensis","Canada forked chickweed","","Paronychia canadensis","Paronychia"
"N","H","Paronychia fastigiata var. fastigiata","forked chickweed","","Paronychia fastigiata var. fastigiata","Paronychia"
"N","H","Parthenium integrifolium","wild quinine","","Parthenium integrifolium","Parthenium"
"N","C","Parthenocissus quinquefolia","Virginia creeper","","Parthenocissus quinquefolia","Parthenocissus"
"N","C","Parthenocissus vitacea","woodbine","","Parthenocissus vitacea","Parthenocissus"
"N","G","Pascopyrum smithii","western wheatgrass","","Elytrigia smithii","Pascopyrum"
"N","G","Paspalum setaceum","hairy beadgrass","","Paspalum setaceum","Paspalum"
"N","G","Paspalum setaceum var. muhlenbergii","hurrahgrass","","Paspalum setaceum var. muhlenbergii","Paspalum"
"N","G","Paspalum setaceum var. stramineum","yellow sand paspalum","","Paspalum setaceum var. stramineum","Paspalum"
"I","H","Pastinaca sativa","wild parsnip","","Pastinaca sativa","Pastinaca"
"N","H","Pedicularis canadensis","wood betony","","Pedicularis canadensis","Pedicularis"
"N","H","Pedicularis lanceolata","swamp lousewort","","Pedicularis lanceolata","Pedicularis"
"N","H","Pediomelum argophyllum","silverleaf scurfpea","","Pediomelum argophyllum","Pediomelum"
"N","H","Pediomelum esculentum","prairie turnip","","Pediomelum esculentum","Pediomelum"
"N","H","Pediomelum tenuiflorum","slender-leaved scurfpea","","Psoralidium tenuiflorum","Pediomelum"
"N","H","Pellaea atropurpurea","purple cliffbrake","","Pellaea atropurpurea","Pellaea"
"N","H","Pellaea glabella subsp. glabella","smooth cliffbrake","","","Pellaea"
"I","H","Peltandra virginica","green arrow arum","","Peltandra virginica","Peltandra"
"N","H","Penstemon albidus","white beard tongue","","Penstemon albidus","Penstemon"
"N","H","Penstemon digitalis","foxglove beard tongue","","Penstemon digitalis","Penstemon"
"N","H","Penstemon gracilis","slender beard tongue","","Penstemon gracilis","Penstemon"
"N","H","Penstemon grandiflorus","large-flowered beard tongue","","Penstemon grandiflorus","Penstemon"
"N","H","Penstemon pallidus","pale beard tongue","","Penstemon pallidus","Penstemon"
"N","H","Penthorum sedoides","ditch stonecrop","","Penthorum sedoides","Penthorum"
"I","H","Peritoma serrulata","spider-flower","","Cleome serrulata","Peritoma"
"N","F,H","Persicaria amphibia","water smartweed","","Polygonum amphibium, Polygonum amphibium var. emersum, Polygonum amphibium var. stipulaceum","Persicaria"
"N","H","Persicaria amphibia var. emersa","longroot smartweed","","Polygonum amphibium var. emersum","Persicaria"
"N","F,H","Persicaria amphibia var. stipulacea","flanged smartweed","","Polygonum amphibium var. stipulaceum","Persicaria"
"N","H","Persicaria arifolia","halberd-leaved tearthumb","","Polygonum arifolium","Persicaria"
"N","H","Persicaria careyi","Carey's smartweed","","Polygonum careyi","Persicaria"
"I","H","Persicaria hydropiper","marsh waterpepper","","Polygonum hydropiper","Persicaria"
"N","H","Persicaria hydropiperoides","mild waterpepper","","Polygonum hydropiperoides","Persicaria"
"N","H","Persicaria lapathifolia","nodding smartweed","","Polygonum lapathifolium","Persicaria"
"I","H","Persicaria longiseta","","","Polygonum cespitosum var. longisetum","Persicaria"
"I","H","Persicaria maculosa","lady's thumb","","Polygonum persicaria","Persicaria"
"I","H","Persicaria minor","pygmy smartweed","","","Persicaria"
"I","H","Persicaria orientalis","prince's feather","","Polygonum orientale","Persicaria"
"N","H","Persicaria pensylvanica","Pennsylvania smartweed","","Polygonum pensylvanicum","Persicaria"
"N","H","Persicaria punctata","dotted smartweed","","Polygonum punctatum, Polygonum punctatum var. confertiflorum, Polygonum punctatum var. punctatum","Persicaria"
"N","H","Persicaria sagittata","arrow-leaved tearthumb","","Polygonum sagittatum","Persicaria"
"N","H","Persicaria virginiana","Virginia knotweed","","Polygonum virginianum","Persicaria"
"N","H","Petasites frigidus","sweet coltsfoot","","Petasites frigidus var. palmatus, Petasites sagittatus","Petasites"
"N","H","Petasites frigidus var. palmatus","palmate sweet coltsfoot","","Petasites frigidus var. palmatus","Petasites"
"N","H","Petasites frigidus var. sagittatus","arrow-leaved sweet coltsfoot","","Petasites sagittatus","Petasites"
