"native","physiognomy","nameDNR","commonName","emergingTaxonomy","synonymGC","genus"
"N","H","Asclepias hirtella","prairie milkweed","","Asclepias hirtella","Asclepias"
"N","H","Asclepias incarnata subsp. incarnata","swamp milkweed","","Asclepias incarnata var. incarnata","Asclepias"
"N","H","Asclepias lanuginosa","woolly milkweed","","Asclepias lanuginosa","Asclepias"
"N","H","Asclepias ovalifolia","oval-leaved milkweed","","Asclepias ovalifolia","Asclepias"
"N","H","Asclepias speciosa","showy milkweed","","Asclepias speciosa","Asclepias"
"N","H","Asclepias stenophylla","narrow-leaved milkweed","","Asclepias stenophylla","Asclepias"
"N","H","Asclepias sullivantii","Sullivant's milkweed","","Asclepias sullivantii","Asclepias"
"N","H","Asclepias syriaca","common milkweed","","Asclepias syriaca","Asclepias"
"N","H","Asclepias tuberosa subsp. interior","butterflyweed","","Asclepias tuberosa var. interior","Asclepias"
"N","H","Asclepias verticillata","whorled milkweed","","Asclepias verticillata","Asclepias"
"N","H","Asclepias viridiflora","green milkweed","","Asclepias viridiflora","Asclepias"
"I","H","Asparagus officinalis","asparagus","","Asparagus officinalis","Asparagus"
"N","H","Asplenium platyneuron","ebony spleenwort","","Asplenium platyneuron","Asplenium"
"N","H","Asplenium rhizophyllum","walking fern","","Asplenium rhizophyllum","Asplenium"
"N","H","Asplenium trichomanes subsp. trichomanes","maidenhair spleenwort","","","Asplenium"
"N","H","Astragalus agrestis","fieldmilk-vetch","","Astragalus agrestis","Astragalus"
"N","H","Astragalus alpinus var. alpinus","alpine milk-vetch","","Astragalus alpinus var. alpinus","Astragalus"
"N","H","Astragalus canadensis var. canadensis","Canada milk-vetch","","Astragalus canadensis","Astragalus"
"I","H","Astragalus cicer","","","Astragalus cicer","Astragalus"
"N","H","Astragalus crassicarpus var. crassicarpus","ground plum","","Astragalus crassicarpus var. crassicarpus","Astragalus"
"N","H","Astragalus flexuosus var. flexuosus","slender milk-vetch","","Astragalus flexuosus var. flexuosus","Astragalus"
"N","H","Astragalus laxmannii var. robustior","prairie milk-vetch","","Astragalus adsurgens var. robustior","Astragalus"
"N","H","Astragalus lotiflorus","lotus milk-vetch","","Astragalus lotiflorus","Astragalus"
"N","H","Astragalus missouriensis var. missouriensis","Missouri milk-vetch","","Astragalus missouriensis var. missouriensis","Astragalus"
"N","H","Astragalus multiflorus","loose-flowered milk-vetch","","Astragalus tenellus","Astragalus"
"N","H","Astragalus neglectus","Cooper's milk-vetch","","Astragalus neglectus","Astragalus"
"N","H","Astragalus racemosus var. racemosus","racemose milk-vetch","","Astragalus racemosus var. racemosus","Astragalus"
"N","H","Athyrium filix-femina var. angustum","northern lady fern","","Athyrium filix-femina var. michauxii","Athyrium"
"I","H","Atriplex patula","spearscale","","Atriplex patula","Atriplex"
"N","H","Atriplex prostrata","thinleaf orach","","Atriplex hastata","Atriplex"
"N","H","Aureolaria grandiflora","large-flowered false foxglove","","Aureolaria grandiflora, Aureolaria grandiflora var. pulchra","Aureolaria"
"N","H","Aureolaria pedicularia","fernleaf false foxglove","","Aureolaria pedicularia, Aureolaria pedicularia var. ambigens, Aureolaria pedicularia var. pedicularia","Aureolaria"
"I","G","Avena fatua","wild oats","","Avena fatua","Avena"
"I","G","Avena sativa","cultivated oats","","Avena sativa","Avena"
"N","G","Avenula hookeri","spike oat","","Helictotrichon hookeri","Avenula"
"I","H","Axyris amaranthoides","Russian pigweed","","Axyris amaranthoides","Axyris"
"N","H","Azolla microphylla","Mexican mosquito fern","","Azolla mexicana","Azolla"
"N","H","Bacopa rotundifolia","waterhyssop","","Bacopa rotundifolia","Bacopa"
"N","H","Baptisia lactea var. lactea","white wild indigo","","Baptisia lactea var. lactea","Baptisia"
"N","H","Baptisia leucophaea","plains wild indigo","","Baptisia bracteata, Baptisia bracteata var. glabrescens","Baptisia"
"N","H","Barbarea orthoceras","winter-cress","","Barbarea orthoceras","Barbarea"
"I","H","Barbarea vulgaris","yellow rocket","","Barbarea vulgaris","Barbarea"
"N","H","Bartonia virginica","yellow screwstem","","Bartonia virginica","Bartonia"
"N","G","Beckmannia syzigachne","American slough grass","","Beckmannia syzigachne","Beckmannia"
"I","D","Berberis thunbergii","Japanese barberry","","Berberis thunbergii","Berberis"
"I","D","Berberis vulgaris","common barberry","","Berberis vulgaris","Berberis"
"I","H","Berteroa incana","hoary alyssum","","Berteroa incana","Berteroa"
"N","H","Berula incisa","stream parsnip","","Berula erecta","Berula"
"N","D","Betula alleghaniensis","yellow birch","","Betula alleghaniensis","Betula"
"N","D","Betula cordifolia","heart-leaved birch","","Betula papyrifera var. cordifolia","Betula"
"N","D","Betula nigra","river birch","","Betula nigra","Betula"
"N","D","Betula papyrifera","paper birch","","Betula papyrifera s.l., Betula papyrifera var. papyrifera","Betula"
"N","D","Betula pumila","bog birch","","Betula pumila","Betula"
"N","D","Betula xpurpusii","Purpus' birch","","Betula xpurpusii","Betula"
"N","D","Betula xrosendahlii","Rosendahl's birch","","","Betula"
"N","D","Betula xsandbergii","Sandberg's birch","","Betula xsandbergii","Betula"
"N","F,H,S","Bidens beckii","water marigold","","Bidens beckii","Bidens"
"N","H","Bidens cernua","nodding bur marigold","","Bidens cernua","Bidens"
"N","H","Bidens connata","swamp beggarticks","","Bidens connata","Bidens"
"N","H","Bidens discoidea","discoid beggarticks","","Bidens discoidea","Bidens"
"N","H","Bidens frondosa","leafy beggarticks","","Bidens frondosa","Bidens"
"N","H","Bidens trichosperma","showy beggarticks","","Bidens coronata","Bidens"
"N","H","Bidens tripartita","tufted beggarticks","","Bidens comosa","Bidens"
"N","H","Bidens vulgata","common beggarticks","","Bidens vulgata","Bidens"
"N","H","Bistorta vivipara","alpine bistort","","Polygonum viviparum","Bistorta"
"N","H","Blephilia hirsuta","woodmint","","Blephilia hirsuta","Blephilia"
"N","H","Boechera canadensis","sicklepod","","Arabis canadensis","Boechera"
"N","H","Boechera collinsii","Collins' rock cress","","Arabis holboellii","Boechera"
"N","H","Boechera dentata","stellate rock cress","","Arabis shortii","Boechera"
"N","H","Boechera grahamii","spreading rock cress","","Arabis divaricarpa","Boechera"
"N","H","Boechera laevigata","smooth rock cress","Borodinia laevigata","Arabis laevigata, Arabis laevigata var. laevigata","Boechera"
"N","H","Boechera missouriensis","green rock cress","","Arabis missouriensis","Boechera"
"N","H","Boechera stricta","Drummond's rock cress","","Arabis drummondii","Boechera"
"N","H","Boehmeria cylindrica","false nettle","","Boehmeria cylindrica","Boehmeria"
"N","G","Bolboschoenus fluviatilis","river bulrush","","Scirpus fluviatilis","Bolboschoenus"
"N","G","Bolboschoenus maritimus subsp. paludosus","prairie bulrush","","Scirpus maritimus var. paludosus","Bolboschoenus"
"N","H","Boltonia asteroides","false aster","","Boltonia asteroides","Boltonia"
"N","H","Boltonia asteroides var. latisquama","false aster","","Boltonia asteroides var. latisquama","Boltonia"
"N","H","Boltonia asteroides var. recognita","false aster","","Boltonia asteroides var. recognita","Boltonia"
"N","H","Botrychium angustisegmentum","narrow triangle moonwort","","Botrychium lanceolatum, Botrychium lanceolatum var. angustisegmentum","Botrychium"
"N","H","Botrychium ascendens","upswept moonwort","","","Botrychium"
"N","H","Botrychium campestre","prairie moonwort","","","Botrychium"
"N","H","Botrychium campestre var. campestre","prairie moonwort","","Botrychium campestre","Botrychium"
"N","H","Botrychium campestre var. lineare","slender prairie moonwort","","","Botrychium"
"N","H","Botrychium crenulatum","crenulate moonwort","","","Botrychium"
"N","H","Botrychium gallicomontanum","Frenchman's Bluff moonwort","","","Botrychium"
"N","H","Botrychium matricariifolium","daisy-leaved moonwort","","Botrychium matricariaefolium var. matricariaefolium","Botrychium"
"N","H","Botrychium michiganense","Michigan moonwort","","","Botrychium"
"N","H","Botrychium minganense","Mingan moonwort","","Botrychium minganense","Botrychium"
"N","H","Botrychium mormo","little goblin","","Botrychium mormo","Botrychium"
"N","H","Botrychium neolunaria","New World moonwort","","Botrychium lunaria","Botrychium"
"N","H","Botrychium pallidum","pale moonwort","","","Botrychium"
"N","H","Botrychium simplex var. simplex","least moonwort","","Botrychium simplex var. simplex","Botrychium"
"N","H","Botrychium spathulatum","spatulate moonwort","","","Botrychium"
"N","H","Botrychium tenebrosum","swamp moonwort ","","","Botrychium"
"N","H","Botrypus virginianus","rattlesnake fern","","Botrychium virginianum","Botrypus"
"N","G","Bouteloua curtipendula var. curtipendula","side-oats grama","","Bouteloua curtipendula var. curtipendula","Bouteloua"
"N","G","Bouteloua gracilis","blue grama","","Bouteloua gracilis","Bouteloua"
"N","G","Bouteloua hirsuta var. hirsuta","hairy grama","","","Bouteloua"
"N","G","Brachyelytrum aristosum","northern shorthusk","","Brachyelytrum erectum s.l., Brachyelytrum erectum var. glabratum","Brachyelytrum"
"N","G","Brachyelytrum erectum","bearded shorthusk","","Brachyelytrum erectum s.l., Brachyelytrum erectum var. erectum","Brachyelytrum"
"N","F,H","Brasenia schreberi","watershield","","Brasenia schreberi","Brasenia"
"I","H","Brassica juncea","Indian mustard","","Brassica juncea","Brassica"
"I","H","Brassica nigra","black mustard","","Brassica nigra","Brassica"
"I","H","Brassica rapa","field mustard","","Brassica rapa","Brassica"
"N","H","Brickellia eupatorioides var. corymbulosa","false boneset","","Kuhnia eupatorioides var. corymbulosa","Brickellia"
"N","G","Bromus ciliatus","fringed brome","","Bromus ciliatus","Bromus"
"I","G","Bromus inermis","smooth brome","","Bromus inermis","Bromus"
"I","G","Bromus japonicus","Japanese brome","","Bromus japonicus","Bromus"
"N","G","Bromus kalmii","Kalm's brome","","Bromus kalmii","Bromus"
"N","G","Bromus latiglumis","broad-glumed brome","","Bromus altissimus","Bromus"
"N","G","Bromus pubescens","hairy brome","","Bromus pubescens","Bromus"
"I","G","Bromus secalinus","rye brome","","Bromus secalinus","Bromus"
"I","G","Bromus tectorum","cheatgrass","","Bromus tectorum","Bromus"
"N","G","Buchloe dactyloides","buffalo grass","","Buchloe dactyloides","Buchloe"
"N","G","Bulbostylis capillaris","densetuft hairsedge","","Bulbostylis capillaris","Bulbostylis"
"I","H","Butomus umbellatus","flowering rush","","Butomus umbellatus","Butomus"
"N","G","Calamagrostis canadensis","bluejoint","","Calamagrostis canadensis","Calamagrostis"
"N","G","Calamagrostis canadensis var. canadensis","bluejoint","","Calamagrostis canadensis","Calamagrostis"
"N","G","Calamagrostis canadensis var. langsdorfii","bluejoint","","Calamagrostis canadensis","Calamagrostis"
"N","G","Calamagrostis canadensis var. macouniana","bluejoint","","Calamagrostis canadensis","Calamagrostis"
"N","G","Calamagrostis montanensis","Plains reedgrass","","Calamagrostis montanensis","Calamagrostis"
"N","G","Calamagrostis purpurascens","purple reedgrass","","Calamagrostis purpurascens","Calamagrostis"
"N","G","Calamagrostis stricta","slimstem reedgrass","","Calamagrostis stricta","Calamagrostis"
"N","G","Calamagrostis stricta subsp. inexpansa","slimstem reedgrass","","Calamagrostis lacustris, Calamagrostis stricta","Calamagrostis"
"N","G","Calamagrostis stricta subsp. stricta","narrow reedgrass","","","Calamagrostis"
"N","G","Calamovilfa longifolia var. longifolia","prairie sandreed","","Calamovilfa longifolia var. longifolia","Calamovilfa"
"N","H","Calla palustris","wild calla","","Calla palustris","Calla"
"N","H","Callirhoe triangulata","clustered poppy-mallow","","Callirhoe triangulata","Callirhoe"
"N","F,H","Callitriche hermaphroditica","autumn water starwort","","Callitriche hermaphroditica","Callitriche"
"N","F,H","Callitriche heterophylla","larger water starwort","","Callitriche heterophylla","Callitriche"
"N","F,H","Callitriche palustris","spring water starwort","","Callitriche palustris","Callitriche"
"N","H","Calopogon oklahomensis","Oklahoma grass pink","","Calopogon oklahomensis","Calopogon"
"N","H","Calopogon tuberosus var. tuberosus","tuberous grass pink","","Calopogon tuberosus var. tuberosus","Calopogon"
"N","H","Caltha natans","floating marsh marigold","","Caltha natans","Caltha"
"N","H","Caltha palustris","common marsh marigold","","Caltha palustris","Caltha"
"N","H","Calypso bulbosa var. americana","fairy slipper","","Calypso bulbosa var. americana","Calypso"
