Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,G,Bromus kalmii,Kalm's brome,,Bromus kalmii,doug,"",pope,""
N,G,Bromus latiglumis,broad-glumed brome,,Bromus altissimus,"","",pope,""
N,G,Bromus pubescens,hairy brome,,Bromus pubescens,doug,gran,"",""
I,G,Bromus tectorum,cheatgrass,,Bromus tectorum,"","",pope,""
N,G,Calamagrostis canadensis,bluejoint,,Calamagrostis canadensis,doug,"",pope,""
N,G,Calamagrostis stricta,slimstem reedgrass,,Calamagrostis stricta,doug,gran,pope,""
N,G,Calamagrostis stricta subsp. inexpansa,slimstem reedgrass,,"Calamagrostis lacustris, Calamagrostis stricta",--,--,--,--
N,G,Calamovilfa longifolia var. longifolia,prairie sandreed,,Calamovilfa longifolia var. longifolia,doug,gran,pope,stev
N,H,Calla palustris,wild calla,,Calla palustris,doug,"",pope,""
N,H,Calopogon tuberosus var. tuberosus,tuberous grass pink,,Calopogon tuberosus var. tuberosus,"","",pope,""
N,H,Caltha palustris,common marsh marigold,,Caltha palustris,doug,"",pope,""
N,H,Calystegia macounii,Macoun's false bindweed,,,"","",pope,""
N,H,Calystegia sepium,hedge bindweed,,Calystegia sepium,doug,gran,pope,stev
I,H,Camelina sativa,large-seeded false flax,,Camelina sativa,"","",pope,""
N,H,Campanula aparinoides,marsh bellflower,,Campanula aparinoides,doug,gran,pope,""
N,H,Campanula aparinoides var. grandiflora,marsh bellflower,,Campanula aparinoides var. grandiflora,--,--,--,--
I,H,Campanula rapunculoides,European bellflower,,Campanula rapunculoides,"","",pope,""
N,H,Campanula rotundifolia,harebell,,Campanula rotundifolia,doug,"",pope,stev
I,H,Cannabis sativa,marijuana,,Cannabis sativa,"","",pope,""
I,H,Capsella bursa-pastoris,shepherd's-purse,,Capsella bursa-pastoris,doug,"","",stev
N,H,Cardamine bulbosa,spring cress,,Cardamine rhomboidea,doug,"",pope,""
N,H,Cardamine concatenata,cut-leaved toothwort,,Cardamine concatenata,doug,"","",""
N,H,Cardamine pensylvanica,Pensylvania bitter cress,,Cardamine pensylvanica,doug,gran,pope,""
I,H,Carduus acanthoides subsp. acanthoides,plumeless thistle,,,doug,gran,"",""
N,G,Carex aquatilis,aquatic sedge,,Carex aquatilis,doug,gran,pope,""
N,G,Carex aquatilis var. substricta,aquatic sedge,,Carex aquatilis var. substricta,doug,gran,pope,""
N,G,Carex assiniboinensis,assiniboine sedge,,Carex assiniboinensis,doug,gran,pope,""
N,G,Carex atherodes,slough sedge,,Carex atherodes,doug,gran,pope,stev
N,G,Carex aurea,golden-fruited sedge,,Carex aurea,doug,"",pope,""
N,G,Carex bebbii,Bebb's sedge,,Carex bebbii,doug,"",pope,""
N,G,Carex bicknellii,Bicknell's sedge,,Carex bicknellii,doug,"",pope,""
N,G,Carex blanda,charming sedge,,Carex blanda,doug,"",pope,stev
N,G,Carex brevior,plains oval sedge,,Carex brevior s.l.,doug,"",pope,""
N,G,Carex buxbaumii,Buxbaum's sedge,,Carex buxbaumii,doug,"",pope,""
N,G,Carex canescens,silvery sedge,,Carex canescens,doug,"","",""
N,G,Carex chordorrhiza,creeping sedge,,Carex chordorrhiza,doug,"","",""
N,G,Carex comosa,bristly sedge,,Carex comosa,doug,"",pope,""
N,G,Carex crawei,Crawe's sedge,,Carex crawei,"","","",stev
N,G,Carex crawfordii,Crawford's sedge,,Carex crawfordii,"","",pope,""
N,G,Carex cristatella,crested sedge,,Carex cristatella,"",gran,pope,""
N,G,Carex deweyana var. deweyana,Dewey's sedge,,,doug,gran,pope,""
N,G,Carex disperma,soft-leaved sedge,,Carex disperma,doug,"",pope,""
N,G,Carex duriuscula,spike rush sedge,,Carex stenophylla,doug,"",pope,""
N,G,Carex eburnea,ivory sedge,,Carex eburnea,"","",pope,""
N,G,Carex echinodes,marsh straw sedge,,Carex tenera var. echinodes,doug,"","",""
N,G,Carex emoryi,Emory's sedge,,Carex emoryi,"","",pope,stev
N,G,Carex filifolia var. filifolia,thread-leaved sedge,,,doug,"",pope,""
N,G,Carex gracillima,graceful sedge,,Carex gracillima,doug,"","",""
N,G,Carex granularis,granular sedge,,Carex granularis,doug,gran,pope,""
N,G,Carex gravida,heavy sedge,,Carex gravida,doug,gran,pope,""
N,G,Carex hystericina,porcupine sedge,,Carex hystericina,doug,gran,pope,""
N,G,Carex inops subsp. heliophila,sun-loving sedge,,,doug,"",pope,""
N,G,Carex interior,interior sedge,,Carex interior,doug,gran,pope,""
N,G,Carex intumescens,bladder sedge,,Carex intumescens,doug,"",pope,""
N,G,Carex lacustris,lake sedge,,Carex lacustris,doug,gran,pope,""
N,G,Carex lasiocarpa,fen  wiregrass sedge,,Carex lasiocarpa var. americana,doug,"",pope,""
N,G,Carex leptalea,bristle-stalked sedge,,Carex leptalea,doug,"",pope,""
N,G,Carex limosa,candle-lantern sedge,,Carex limosa,doug,"",pope,""
N,G,Carex lupulina,hop umbrella sedge,,Carex lupulina,doug,"","",""
N,G,Carex magellanica subsp. irrigua,poor sedge,,Carex paupercula,doug,"",pope,""
N,G,Carex meadii,Mead's sedge,,Carex meadii,doug,"","",""
N,G,Carex molesta,troublesome sedge,,Carex brevior s.l.,"",gran,pope,""
N,G,Carex normalis,right-angle sedge,,Carex normalis,"","",pope,""
N,G,Carex peckii,Peck's sedge,,Carex peckii,doug,"",pope,""
N,G,Carex pedunculata,long-stalked sedge,,Carex pedunculata,doug,gran,pope,""
N,G,Carex pellita,woolly sedge,,Carex pellita,"",gran,pope,stev
